,species,genus,subfamily,family,order,Match,Maximum Possible
0,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,120,224
1,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,116,224
2,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,116,224
3,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,113,224
4,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,113,224
5,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,113,224
6,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,112,224
7,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,112,224
8,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,111,224
9,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,111,224
10,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,111,224
11,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,111,224
12,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,111,224
13,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,111,224
14,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,111,224
15,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,111,224
16,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,110,224
17,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,107,224
18,Ursus maritimus,Ursus,,Ursidae,Carnivora,104,224
19,Ursus americanus,Ursus,,Ursidae,Carnivora,104,224
20,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,104,224
21,Ursus arctos,Ursus,,Ursidae,Carnivora,104,224
22,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,104,224
23,Camelus ferus,Camelus,,Camelidae,Artiodactyla,104,224
24,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,104,224
25,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,103,224
