,species,genus,subfamily,family,order,Match,Maximum Possible
0,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,94,190
1,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,93,190
2,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,92,190
3,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,92,190
4,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,92,190
5,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,91,190
6,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,91,190
7,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,91,190
8,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,90,190
9,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,89,190
10,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,89,190
11,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,89,190
12,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,89,190
13,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,89,190
14,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,88,190
15,Equus asinus,Equus,,Equidae,Perissodactyla,86,190
16,Equus caballus,Equus,,Equidae,Perissodactyla,86,190
17,Equus quagga,Equus,,Equidae,Perissodactyla,86,190
18,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,86,190
19,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,85,190
20,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,85,190
21,Lemur catta,Lemur,,Lemuridae,Primates,84,190
22,Ursus arctos,Ursus,,Ursidae,Carnivora,83,190
23,Ursus maritimus,Ursus,,Ursidae,Carnivora,83,190
24,Ursus americanus,Ursus,,Ursidae,Carnivora,83,190
25,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,82,190
26,Propithecus coquereli,Propithecus,,Indriidae,Primates,82,190
27,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,82,190
28,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,82,190
29,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,81,190
30,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,81,190
31,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,81,190
32,Suricata suricatta,Suricata,,Herpestidae,Carnivora,81,190
33,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,81,190
34,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,81,190
35,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,81,190
36,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,80,190
37,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,80,190
38,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,80,190
39,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,80,190
40,Felis catus,Felis,Felinae,Felidae,Carnivora,80,190
41,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,80,190
42,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,80,190
43,Camelus ferus,Camelus,,Camelidae,Artiodactyla,80,190
44,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,80,190
45,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,80,190
46,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,80,190
47,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,80,190
48,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,79,190
49,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,79,190
50,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,79,190
51,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,79,190
52,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,79,190
53,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,79,190
54,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,79,190
55,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,79,190
56,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,79,190
57,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,79,190
58,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,79,190
59,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,79,190
60,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,79,190
61,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,79,190
62,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,79,190
63,Phocoena sinus,Phocoena,,Phocoenidae,Artiodactyla,79,190
64,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,79,190
65,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,78,190
66,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,78,190
67,Otolemur garnettii,Otolemur,,Galagidae,Primates,78,190
68,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,78,190
69,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,78,190
70,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,78,190
71,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,78,190
72,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,78,190
73,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,78,190
74,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,78,190
75,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,77,190
76,Sus scrofa,Sus,,Suidae,Artiodactyla,77,190
77,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,77,190
78,Castor canadensis,Castor,,Castoridae,Rodentia,77,190
79,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,77,190
80,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,77,190
81,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,77,190
82,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,77,190
83,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,77,190
84,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,77,190
85,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,77,190
86,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,77,190
87,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,77,190
88,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,77,190
89,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,77,190
90,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,77,190
91,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,77,190
92,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,77,190
93,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,77,190
94,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,77,190
95,Nomascus leucogenys,Nomascus,,Hylobatidae,Primates,77,190
96,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera,76,190
97,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,76,190
98,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,76,190
99,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,76,190
100,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,76,190
101,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,76,190
102,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,76,190
103,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,76,190
104,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,76,190
105,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,76,190
106,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,75,190
107,Hylobates moloch,Hylobates,,Hylobatidae,Primates,75,190
108,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,75,190
109,Meles meles,Meles,Melinae,Mustelidae,Carnivora,75,190
110,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,75,190
111,Canis lupus dingo,Canis,,Canidae,Carnivora,75,190
112,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,75,190
113,Vulpes vulpes,Vulpes,,Canidae,Carnivora,75,190
114,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,75,190
115,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,75,190
116,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,75,190
117,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,75,190
118,Symphalangus syndactylus,Symphalangus,,Hylobatidae,Primates,75,190
119,Vulpes lagopus,Vulpes,,Canidae,Carnivora,75,190
120,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,75,190
121,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,74,190
122,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,74,190
123,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,74,190
124,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,74,190
125,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,74,190
126,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,74,190
127,Pongo abelii,Pongo,Ponginae,Hominidae,Primates,74,190
128,Canis lupus familiaris,Canis,,Canidae,Carnivora,74,190
129,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,73,190
130,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,73,190
131,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,73,190
132,Zalophus californianus,Zalophus,,Otariidae,Carnivora,73,190
133,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,73,190
134,Homo sapiens,Homo,Homininae,Hominidae,Primates,73,190
135,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,73,190
136,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,73,190
