,species,genus,subfamily,family,order,Match,Maximum Possible
0,Sus scrofa,Sus,,Suidae,Artiodactyla,115,251
1,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,114,251
2,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,112,251
3,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,106,251
4,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,106,251
5,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,106,251
6,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,106,251
7,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,105,251
8,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,105,251
9,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,105,251
10,Felis catus,Felis,Felinae,Felidae,Carnivora,105,251
11,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,105,251
12,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,105,251
13,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,105,251
14,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,105,251
15,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,104,251
16,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,103,251
17,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,102,251
18,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,102,251
19,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,101,251
20,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,101,251
21,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,101,251
22,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,101,251
23,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,101,251
24,Equus caballus,Equus,,Equidae,Perissodactyla,101,251
25,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,101,251
26,Suricata suricatta,Suricata,,Herpestidae,Carnivora,101,251
27,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,101,251
28,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,101,251
29,Equus quagga,Equus,,Equidae,Perissodactyla,100,251
30,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,100,251
31,Meles meles,Meles,Melinae,Mustelidae,Carnivora,100,251
32,Equus asinus,Equus,,Equidae,Perissodactyla,100,251
33,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,100,251
34,Ursus americanus,Ursus,,Ursidae,Carnivora,99,251
35,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,99,251
36,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,99,251
37,Ursus arctos,Ursus,,Ursidae,Carnivora,99,251
38,Lemur catta,Lemur,,Lemuridae,Primates,99,251
39,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,99,251
40,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,99,251
41,Ursus maritimus,Ursus,,Ursidae,Carnivora,99,251
42,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,98,251
43,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,98,251
44,Manis pentadactyla,Manis,,Manidae,Pholidota,98,251
