,species,genus,subfamily,family,order,Match,Maximum Possible
0,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,118,281
1,Canis lupus dingo,Canis,,Canidae,Carnivora,118,281
2,Vulpes lagopus,Vulpes,,Canidae,Carnivora,117,281
3,Vulpes vulpes,Vulpes,,Canidae,Carnivora,117,281
4,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,114,281
5,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,114,281
6,Felis catus,Felis,Felinae,Felidae,Carnivora,114,281
7,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,114,281
8,Canis lupus familiaris,Canis,,Canidae,Carnivora,114,281
9,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,114,281
10,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,114,281
11,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,114,281
12,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,114,281
13,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,114,281
14,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,114,281
15,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,113,281
16,Suricata suricatta,Suricata,,Herpestidae,Carnivora,113,281
17,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,113,281
18,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,113,281
19,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,113,281
20,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,113,281
21,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,113,281
22,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,112,281
23,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,112,281
24,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,112,281
25,Ursus americanus,Ursus,,Ursidae,Carnivora,111,281
26,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,111,281
27,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,111,281
28,Ursus arctos,Ursus,,Ursidae,Carnivora,111,281
29,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,111,281
30,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,110,281
31,Ursus maritimus,Ursus,,Ursidae,Carnivora,110,281
32,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,110,281
33,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,110,281
34,Meles meles,Meles,Melinae,Mustelidae,Carnivora,110,281
35,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,108,281
36,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,108,281
37,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,108,281
38,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,108,281
39,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,108,281
40,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,108,281
41,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,108,281
42,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,107,281
43,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,107,281
