,species,genus,subfamily,family,order,Match,Maximum Possible
0,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,161,283
1,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,161,283
2,Zalophus californianus,Zalophus,,Otariidae,Carnivora,156,283
3,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,155,283
4,Ursus arctos,Ursus,,Ursidae,Carnivora,154,283
5,Ursus maritimus,Ursus,,Ursidae,Carnivora,154,283
6,Ursus americanus,Ursus,,Ursidae,Carnivora,154,283
7,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,153,283
8,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,152,283
9,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,151,283
10,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,150,283
11,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,150,283
12,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,150,283
13,Meles meles,Meles,Melinae,Mustelidae,Carnivora,149,283
14,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,149,283
15,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,149,283
16,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,149,283
17,Suricata suricatta,Suricata,,Herpestidae,Carnivora,149,283
18,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,148,283
19,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,148,283
20,Vulpes vulpes,Vulpes,,Canidae,Carnivora,147,283
21,Vulpes lagopus,Vulpes,,Canidae,Carnivora,146,283
22,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,146,283
23,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,146,283
24,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,146,283
25,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,146,283
26,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,146,283
27,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,146,283
28,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,146,283
29,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,146,283
30,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,146,283
31,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,146,283
32,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,146,283
33,Felis catus,Felis,Felinae,Felidae,Carnivora,145,283
34,Canis lupus dingo,Canis,,Canidae,Carnivora,145,283
