,species,genus,subfamily,family,order,Match,Maximum Possible
0,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,157,284
1,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,157,284
2,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,144,284
3,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,143,284
4,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,143,284
5,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,142,284
6,Zalophus californianus,Zalophus,,Otariidae,Carnivora,142,284
7,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,141,284
8,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,139,284
9,Meles meles,Meles,Melinae,Mustelidae,Carnivora,138,284
10,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,138,284
11,Ursus arctos,Ursus,,Ursidae,Carnivora,136,284
12,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,136,284
13,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,136,284
14,Ursus americanus,Ursus,,Ursidae,Carnivora,136,284
15,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,136,284
16,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,136,284
17,Ursus maritimus,Ursus,,Ursidae,Carnivora,136,284
18,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,136,284
19,Vulpes vulpes,Vulpes,,Canidae,Carnivora,135,284
20,Vulpes lagopus,Vulpes,,Canidae,Carnivora,134,284
21,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,134,284
22,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,134,284
23,Canis lupus dingo,Canis,,Canidae,Carnivora,133,284
24,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,133,284
25,Suricata suricatta,Suricata,,Herpestidae,Carnivora,133,284
26,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,132,284
27,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,132,284
28,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,132,284
29,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,132,284
30,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,131,284
31,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,131,284
32,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,131,284
33,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,131,284
34,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,131,284
35,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,131,284
36,Felis catus,Felis,Felinae,Felidae,Carnivora,131,284
37,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,130,284
38,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,130,284
39,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,129,284
