,species,genus,subfamily,family,order,Match,Maximum Possible
0,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,67,146
1,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,67,146
2,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,67,146
3,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,67,146
4,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,67,146
5,Meles meles,Meles,Melinae,Mustelidae,Carnivora,66,146
6,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,66,146
7,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,65,146
8,Ursus arctos,Ursus,,Ursidae,Carnivora,64,146
9,Ursus americanus,Ursus,,Ursidae,Carnivora,64,146
10,Ursus maritimus,Ursus,,Ursidae,Carnivora,64,146
11,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,63,146
12,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,63,146
13,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,63,146
14,Felis catus,Felis,Felinae,Felidae,Carnivora,63,146
15,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,63,146
16,Zalophus californianus,Zalophus,,Otariidae,Carnivora,62,146
17,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,62,146
18,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,62,146
19,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,62,146
20,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,62,146
21,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,62,146
22,Vulpes lagopus,Vulpes,,Canidae,Carnivora,62,146
23,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,62,146
24,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,62,146
25,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,62,146
26,Vulpes vulpes,Vulpes,,Canidae,Carnivora,62,146
27,Canis lupus dingo,Canis,,Canidae,Carnivora,62,146
28,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,61,146
29,Canis lupus familiaris,Canis,,Canidae,Carnivora,61,146
