,species,genus,subfamily,family,order,Match,Maximum Possible
0,Vulpes lagopus,Vulpes,,Canidae,Carnivora,91,172
1,Vulpes vulpes,Vulpes,,Canidae,Carnivora,91,172
2,Canis lupus dingo,Canis,,Canidae,Carnivora,90,172
3,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,88,172
4,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,88,172
5,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,88,172
6,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,88,172
7,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,88,172
8,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,88,172
9,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,88,172
10,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,88,172
11,Felis catus,Felis,Felinae,Felidae,Carnivora,88,172
12,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,88,172
13,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,88,172
14,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,88,172
15,Ursus maritimus,Ursus,,Ursidae,Carnivora,87,172
16,Ursus arctos,Ursus,,Ursidae,Carnivora,87,172
17,Ursus americanus,Ursus,,Ursidae,Carnivora,87,172
18,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,87,172
19,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,86,172
20,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,86,172
21,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,86,172
22,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,85,172
23,Canis lupus familiaris,Canis,,Canidae,Carnivora,85,172
24,Suricata suricatta,Suricata,,Herpestidae,Carnivora,85,172
25,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,85,172
26,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,85,172
27,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,84,172
28,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,84,172
29,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,84,172
30,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,83,172
31,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,83,172
32,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,82,172
33,Meles meles,Meles,Melinae,Mustelidae,Carnivora,82,172
34,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,81,172
35,Zalophus californianus,Zalophus,,Otariidae,Carnivora,81,172
36,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,81,172
37,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,81,172
38,Equus quagga,Equus,,Equidae,Perissodactyla,80,172
39,Equus caballus,Equus,,Equidae,Perissodactyla,80,172
40,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,79,172
41,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,79,172
42,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,79,172
43,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,79,172
