,species,genus,subfamily,family,order,Match,Maximum Possible
0,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,85,140
1,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,82,140
2,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,80,140
3,Mus caroli,Mus,Murinae,Muridae,Rodentia,77,140
4,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,77,140
5,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,76,140
6,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,75,140
7,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,74,140
8,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,74,140
9,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,73,140
10,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,73,140
11,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,73,140
12,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,72,140
13,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,72,140
14,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,71,140
15,Mus musculus,Mus,Murinae,Muridae,Rodentia,70,140
16,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,70,140
17,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,69,140
18,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,69,140
19,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,66,140
20,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,66,140
21,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,66,140
22,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,65,140
23,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,65,140
24,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,64,140
25,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,64,140
26,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,64,140
27,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,64,140
28,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,64,140
29,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,63,140
30,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,63,140
31,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,63,140
32,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,62,140
33,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,62,140
34,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,62,140
35,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,62,140
36,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,62,140
