,species,genus,subfamily,family,order,Match,Maximum Possible
0,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,79,147
1,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,76,147
2,Mus caroli,Mus,Murinae,Muridae,Rodentia,73,147
3,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,73,147
4,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,72,147
5,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,72,147
6,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,71,147
7,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,70,147
8,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,70,147
9,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,70,147
10,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,69,147
11,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,69,147
12,Mus musculus,Mus,Murinae,Muridae,Rodentia,68,147
13,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,68,147
14,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,68,147
15,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,67,147
16,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,66,147
17,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,66,147
18,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,65,147
19,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,64,147
20,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,64,147
21,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,64,147
22,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,63,147
23,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,63,147
24,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,63,147
25,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,62,147
26,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,62,147
27,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,61,147
28,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,61,147
29,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,60,147
30,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,60,147
31,Felis catus,Felis,Felinae,Felidae,Carnivora,60,147
32,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,60,147
33,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,60,147
34,Sus scrofa,Sus,,Suidae,Artiodactyla,60,147
35,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,60,147
36,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,60,147
37,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,60,147
38,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,60,147
39,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,60,147
40,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,60,147
41,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,60,147
42,Myotis daubentonii,Myotis,,Vespertilionidae,Chiroptera,59,147
43,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,59,147
44,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,59,147
45,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,59,147
46,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,59,147
47,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,59,147
48,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,59,147
49,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,59,147
50,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,59,147
51,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,59,147
52,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,59,147
53,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,59,147
54,Myotis myotis,Myotis,,Vespertilionidae,Chiroptera,58,147
55,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,58,147
56,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,58,147
57,Myotis lucifugus,Myotis,,Vespertilionidae,Chiroptera,58,147
58,Eptesicus fuscus,Eptesicus,,Vespertilionidae,Chiroptera,58,147
59,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,58,147
60,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,57,147
61,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,57,147
62,Cavia porcellus,Cavia,,Caviidae,Rodentia,57,147
63,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,57,147
64,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,57,147
65,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,57,147
66,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,57,147
67,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,57,147
68,Manis javanica,Manis,,Manidae,Pholidota,56,147
69,Castor canadensis,Castor,,Castoridae,Rodentia,56,147
70,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,56,147
71,Fukomys damarensis,Fukomys,,Bathyergidae,Rodentia,56,147
72,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,56,147
73,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,56,147
74,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,56,147
75,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,56,147
76,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,56,147
77,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,56,147
78,Lemur catta,Lemur,,Lemuridae,Primates,56,147
79,Ursus maritimus,Ursus,,Ursidae,Carnivora,55,147
80,Ursus arctos,Ursus,,Ursidae,Carnivora,55,147
81,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,55,147
82,Manis pentadactyla,Manis,,Manidae,Pholidota,55,147
83,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,55,147
84,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,55,147
85,Heterocephalus glaber,Heterocephalus,,Bathyergidae,Rodentia,55,147
86,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,55,147
87,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,55,147
88,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,55,147
89,Ursus americanus,Ursus,,Ursidae,Carnivora,55,147
90,Propithecus coquereli,Propithecus,,Indriidae,Primates,55,147
91,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,55,147
92,Echinops telfairi,Echinops,Tenrecinae,Tenrecidae,,55,147
93,Camelus ferus,Camelus,,Camelidae,Artiodactyla,55,147
