,species,genus,subfamily,family,order,Match,Maximum Possible
0,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,112,216
1,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,112,216
2,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,111,216
3,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,111,216
4,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,110,216
5,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,108,216
6,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,108,216
7,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,107,216
8,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,107,216
9,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,105,216
10,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,104,216
11,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,103,216
12,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,103,216
13,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,101,216
14,Mus caroli,Mus,Murinae,Muridae,Rodentia,101,216
15,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,100,216
16,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,99,216
17,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,98,216
18,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,97,216
19,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,97,216
20,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,97,216
21,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,97,216
22,Mus musculus,Mus,Murinae,Muridae,Rodentia,96,216
23,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,95,216
24,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,94,216
25,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,92,216
26,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,92,216
27,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,92,216
28,Equus caballus,Equus,,Equidae,Perissodactyla,92,216
29,Felis catus,Felis,Felinae,Felidae,Carnivora,92,216
30,Equus quagga,Equus,,Equidae,Perissodactyla,91,216
31,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,91,216
32,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,91,216
33,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,91,216
34,Equus asinus,Equus,,Equidae,Perissodactyla,91,216
35,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,91,216
36,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,91,216
37,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,91,216
38,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,91,216
39,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,90,216
40,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,90,216
41,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,89,216
42,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,89,216
43,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,89,216
44,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,89,216
45,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,89,216
46,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,89,216
47,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,89,216
48,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,89,216
49,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,89,216
50,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,89,216
51,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,89,216
52,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,88,216
53,Meles meles,Meles,Melinae,Mustelidae,Carnivora,88,216
54,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,88,216
55,Suricata suricatta,Suricata,,Herpestidae,Carnivora,88,216
56,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,87,216
57,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,87,216
58,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,87,216
59,Lemur catta,Lemur,,Lemuridae,Primates,87,216
60,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,87,216
61,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,87,216
62,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,87,216
63,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,87,216
64,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,87,216
65,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,87,216
66,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,87,216
67,Carlito syrichta,Carlito,,Tarsiidae,Primates,87,216
68,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,86,216
69,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,86,216
70,Ursus maritimus,Ursus,,Ursidae,Carnivora,86,216
71,Propithecus coquereli,Propithecus,,Indriidae,Primates,86,216
72,Ursus americanus,Ursus,,Ursidae,Carnivora,86,216
