,GENUS,SPECIES,Match
0,Bison,Bison bison bison,168
1,Bos,Bos indicus x Bos taurus,168
2,Bos,Bos indicus,168
3,Bos,Bos taurus,168
4,Bos,Bos javanicus,168
5,Bos,Bos mutus,167
6,Bubalus,Bubalus kerabau,164
7,Bubalus,Bubalus bubalis,164
8,Moschus,Moschus berezovskii,160
9,Odocoileus,Odocoileus virginianus texanus,158
10,Capra,Capra hircus,158
11,Oryx,Oryx dammah,158
12,Cervus,Cervus elaphus,157
13,Cervus,Cervus canadensis,157
14,Dama,Dama dama,157
15,Equus,Equus quagga,156
16,Ovis,Ovis aries,156
17,Mustela,Mustela putorius furo,155
18,Budorcas,Budorcas taxicolor,155
19,Mustela,Mustela nigripes,155
20,Mustela,Mustela lutreola,155
21,Equus,Equus caballus,155
22,Mustela,Mustela erminea,155
23,Ailuropoda,Ailuropoda melanoleuca,155
24,Neogale,Neogale vison,155
25,Equus,Equus asinus,154
26,Lutra,Lutra lutra,154
27,Ursus,Ursus maritimus,154
28,Ursus,Ursus americanus,154
29,Ursus,Ursus arctos,154
30,Lontra,Lontra canadensis,153
31,Meles,Meles meles,153
32,Vicugna,Vicugna pacos,153
33,Vulpes,Vulpes lagopus,151
34,Odobenus,Odobenus rosmarus divergens,151
35,Panthera,Panthera uncia,151
36,Vulpes,Vulpes vulpes,151
37,Nyctereutes,Nyctereutes procyonoides,151
38,Panthera,Panthera leo,151
39,Panthera,Panthera onca,151
40,Canis,Canis lupus dingo,151
41,Galeopterus,Galeopterus variegatus,151
42,Cynocephalus,Cynocephalus volans,150
43,Mirounga,Mirounga angustirostris,150
44,Felis,Felis catus,150
45,Panthera,Panthera tigris,150
46,Eumetopias,Eumetopias jubatus,150
47,Callorhinus,Callorhinus ursinus,149
48,Lynx,Lynx canadensis,149
49,Phoca,Phoca vitulina,149
50,Halichoerus,Halichoerus grypus,149
51,Prionailurus,Prionailurus viverrinus,149
52,Prionailurus,Prionailurus bengalensis,149
53,Neofelis,Neofelis nebulosa,149
54,Mirounga,Mirounga leonina,149
55,Acinonyx,Acinonyx jubatus,149
56,Lynx,Lynx rufus,149
57,Leopardus,Leopardus geoffroyi,148
58,Phacochoerus,Phacochoerus africanus,148
59,Camelus,Camelus bactrianus,147
60,Hippopotamus,Hippopotamus amphibius kiboko,147
61,Zalophus,Zalophus californianus,147
62,Canis,Canis lupus familiaris,147
