,GENUS,SPECIES,Match
0,Bos,Bos indicus,125
1,Bos,Bos javanicus,125
2,Bos,Bos taurus,125
3,Bison,Bison bison bison,125
4,Bos,Bos indicus x Bos taurus,125
5,Bos,Bos mutus,124
6,Moschus,Moschus berezovskii,123
7,Oryx,Oryx dammah,122
8,Bubalus,Bubalus bubalis,121
9,Capra,Capra hircus,121
10,Bubalus,Bubalus kerabau,121
11,Ovis,Ovis aries,119
12,Budorcas,Budorcas taxicolor,118
13,Dama,Dama dama,117
14,Cervus,Cervus canadensis,116
15,Odocoileus,Odocoileus virginianus texanus,116
16,Cervus,Cervus elaphus,116
17,Vicugna,Vicugna pacos,114
18,Nyctereutes,Nyctereutes procyonoides,113
19,Marmota,Marmota monax,113
20,Marmota,Marmota flaviventris,113
21,Marmota,Marmota marmota marmota,113
22,Vulpes,Vulpes lagopus,113
23,Canis,Canis lupus dingo,113
24,Phacochoerus,Phacochoerus africanus,112
25,Pteronotus,Pteronotus parnellii mesoamericanus,112
26,Vulpes,Vulpes vulpes,112
27,Urocitellus,Urocitellus parryii,112
28,Canis,Canis lupus familiaris,112
29,Equus,Equus quagga,112
30,Ursus,Ursus americanus,112
31,Ursus,Ursus arctos,112
32,Ursus,Ursus maritimus,111
33,Equus,Equus asinus,111
34,Ailuropoda,Ailuropoda melanoleuca,111
35,Equus,Equus caballus,111
36,Cynocephalus,Cynocephalus volans,110
37,Galeopterus,Galeopterus variegatus,110
38,Ochotona,Ochotona princeps,110
39,Mustela,Mustela putorius furo,109
40,Neogale,Neogale vison,109
41,Mustela,Mustela nigripes,109
42,Lutra,Lutra lutra,109
43,Piliocolobus,Piliocolobus tephrosceles,109
44,Lepus,Lepus europaeus,109
45,Ictidomys,Ictidomys tridecemlineatus,109
46,Mustela,Mustela erminea,109
47,Mustela,Mustela lutreola,109
48,Panthera,Panthera onca,108
49,Sus,Sus scrofa domesticus,108
50,Propithecus,Propithecus coquereli,108
51,Camelus,Camelus ferus,108
52,Octodon,Octodon degus,108
53,Molossus,Molossus molossus,108
54,Rhinopithecus,Rhinopithecus roxellana,108
55,Lynx,Lynx canadensis,108
56,Panthera,Panthera uncia,108
57,Lemur,Lemur catta,108
58,Sus,Sus scrofa,108
59,Prionailurus,Prionailurus viverrinus,108
60,Nannospalax,Nannospalax galili,108
61,Panthera,Panthera leo,108
62,Miniopterus,Miniopterus natalensis,108
63,Acinonyx,Acinonyx jubatus,108
64,Prionailurus,Prionailurus bengalensis,108
65,Camelus,Camelus bactrianus,108
