,GENUS,SPECIES,Match
0,Bos,Bos indicus x Bos taurus,123
1,Bison,Bison bison bison,123
2,Bos,Bos javanicus,123
3,Bos,Bos taurus,123
4,Bos,Bos mutus,122
5,Bubalus,Bubalus bubalis,122
6,Bos,Bos indicus,122
7,Bubalus,Bubalus kerabau,122
8,Moschus,Moschus berezovskii,119
9,Dama,Dama dama,118
10,Capra,Capra hircus,118
11,Oryx,Oryx dammah,118
12,Vicugna,Vicugna pacos,117
13,Cervus,Cervus canadensis,117
14,Cervus,Cervus elaphus,117
15,Ovis,Ovis aries,116
16,Budorcas,Budorcas taxicolor,116
17,Canis,Canis lupus dingo,115
18,Nyctereutes,Nyctereutes procyonoides,115
19,Canis,Canis lupus familiaris,115
20,Camelus,Camelus bactrianus,114
21,Ursus,Ursus americanus,114
22,Vulpes,Vulpes lagopus,114
23,Vulpes,Vulpes vulpes,114
24,Camelus,Camelus ferus,114
25,Ursus,Ursus arctos,114
26,Camelus,Camelus dromedarius,113
27,Ailuropoda,Ailuropoda melanoleuca,113
28,Odocoileus,Odocoileus virginianus texanus,113
29,Felis,Felis catus,112
30,Panthera,Panthera uncia,112
31,Prionailurus,Prionailurus viverrinus,112
32,Lynx,Lynx rufus,112
33,Hyaena,Hyaena hyaena,112
34,Acinonyx,Acinonyx jubatus,112
35,Neofelis,Neofelis nebulosa,112
36,Panthera,Panthera leo,112
37,Suricata,Suricata suricatta,112
38,Panthera,Panthera tigris,112
39,Ursus,Ursus maritimus,112
40,Panthera,Panthera onca,112
41,Prionailurus,Prionailurus bengalensis,112
42,Lynx,Lynx canadensis,112
43,Leopardus,Leopardus geoffroyi,111
44,Galeopterus,Galeopterus variegatus,111
45,Cynocephalus,Cynocephalus volans,111
46,Ochotona,Ochotona princeps,110
47,Phacochoerus,Phacochoerus africanus,110
48,Callorhinus,Callorhinus ursinus,109
49,Neogale,Neogale vison,109
50,Mustela,Mustela putorius furo,109
51,Lutra,Lutra lutra,109
52,Sus,Sus scrofa domesticus,109
53,Mustela,Mustela erminea,109
54,Mustela,Mustela lutreola,109
55,Mustela,Mustela nigripes,109
56,Sus,Sus scrofa,109
57,Lontra,Lontra canadensis,108
58,Equus,Equus quagga,108
59,Eumetopias,Eumetopias jubatus,108
60,Ochotona,Ochotona curzoniae,108
61,Meles,Meles meles,108
62,Panthera,Panthera pardus,108
63,Equus,Equus caballus,107
64,Lemur,Lemur catta,107
65,Phoca,Phoca vitulina,107
66,Equus,Equus asinus,106
67,Halichoerus,Halichoerus grypus,106
68,Odobenus,Odobenus rosmarus divergens,106
69,Zalophus,Zalophus californianus,106
70,Tupaia,Tupaia chinensis,105
71,Mirounga,Mirounga angustirostris,105
72,Neomonachus,Neomonachus schauinslandi,105
73,Loxodonta,Loxodonta africana,105
74,Miniopterus,Miniopterus natalensis,104
75,Marmota,Marmota monax,104
76,Elephas,Elephas maximus indicus,104
77,Mirounga,Mirounga leonina,104
78,Marmota,Marmota flaviventris,104
79,Urocitellus,Urocitellus parryii,104
80,Marmota,Marmota marmota marmota,104
81,Hippopotamus,Hippopotamus amphibius kiboko,104
82,Condylura,Condylura cristata,103
83,Talpa,Talpa occidentalis,103
84,Chlorocebus,Chlorocebus sabaeus,103
85,Rhinopithecus,Rhinopithecus roxellana,103
86,Choloepus,Choloepus didactylus,102
87,Piliocolobus,Piliocolobus tephrosceles,102
88,Sciurus,Sciurus carolinensis,102
89,Rhinopithecus,Rhinopithecus bieti,102
90,Propithecus,Propithecus coquereli,102
91,Callithrix,Callithrix jacchus,102
92,Rousettus,Rousettus aegyptiacus,101
93,Nannospalax,Nannospalax galili,101
94,Colobus,Colobus angolensis palliatus,101
95,Trachypithecus,Trachypithecus francoisi,101
96,Jaculus,Jaculus jaculus,101
97,Pteropus,Pteropus giganteus,101
98,Castor,Castor canadensis,101
99,Erinaceus,Erinaceus europaeus,101
100,Microcebus,Microcebus murinus,100
101,Gorilla,Gorilla gorilla gorilla,100
102,Macaca,Macaca mulatta,100
103,Pipistrellus,Pipistrellus kuhlii,100
104,Papio,Papio anubis,100
105,Rhinolophus,Rhinolophus ferrumequinum,100
106,Ictidomys,Ictidomys tridecemlineatus,100
107,Octodon,Octodon degus,100
108,Rhinolophus,Rhinolophus sinicus,100
109,Theropithecus,Theropithecus gelada,99
110,Dasypus,Dasypus novemcinctus,99
111,Mandrillus,Mandrillus leucophaeus,99
112,Nycticebus,Nycticebus coucang,99
113,Rattus,Rattus norvegicus,99
114,Macaca,Macaca thibetana thibetana,99
115,Neophocaena,Neophocaena asiaeorientalis,99
116,Diceros,Diceros bicornis minor,99
117,Cercocebus,Cercocebus atys,99
118,Pteronotus,Pteronotus parnellii mesoamericanus,99
