,GENUS,SPECIES,Match
0,Canis,Canis lupus dingo,114
1,Vulpes,Vulpes lagopus,113
2,Vulpes,Vulpes vulpes,113
3,Nyctereutes,Nyctereutes procyonoides,113
4,Canis,Canis lupus familiaris,113
5,Panthera,Panthera leo,105
6,Panthera,Panthera uncia,105
7,Ailuropoda,Ailuropoda melanoleuca,105
8,Panthera,Panthera onca,105
9,Prionailurus,Prionailurus bengalensis,104
10,Ursus,Ursus americanus,104
11,Ursus,Ursus arctos,104
12,Lynx,Lynx rufus,104
13,Panthera,Panthera tigris,104
14,Prionailurus,Prionailurus viverrinus,104
15,Acinonyx,Acinonyx jubatus,104
16,Neofelis,Neofelis nebulosa,104
17,Lynx,Lynx canadensis,104
18,Ursus,Ursus maritimus,103
19,Leopardus,Leopardus geoffroyi,103
20,Hyaena,Hyaena hyaena,103
21,Felis,Felis catus,103
22,Mustela,Mustela lutreola,102
23,Mustela,Mustela putorius furo,102
24,Mustela,Mustela erminea,102
25,Mustela,Mustela nigripes,102
26,Neogale,Neogale vison,102
27,Lutra,Lutra lutra,101
28,Lontra,Lontra canadensis,101
29,Panthera,Panthera pardus,101
30,Manis,Manis javanica,100
31,Suricata,Suricata suricatta,100
32,Meles,Meles meles,99
33,Sciurus,Sciurus carolinensis,98
34,Manis,Manis pentadactyla,97
35,Diceros,Diceros bicornis minor,97
36,Rousettus,Rousettus aegyptiacus,96
37,Eumetopias,Eumetopias jubatus,96
38,Marmota,Marmota marmota marmota,96
39,Equus,Equus caballus,96
40,Marmota,Marmota monax,96
41,Equus,Equus quagga,96
42,Marmota,Marmota flaviventris,96
43,Callorhinus,Callorhinus ursinus,95
44,Urocitellus,Urocitellus parryii,95
45,Equus,Equus asinus,95
46,Dipodomys,Dipodomys ordii,94
47,Galeopterus,Galeopterus variegatus,93
48,Zalophus,Zalophus californianus,93
49,Papio,Papio anubis,93
50,Halichoerus,Halichoerus grypus,93
51,Ictidomys,Ictidomys tridecemlineatus,93
52,Pteropus,Pteropus giganteus,93
53,Cynocephalus,Cynocephalus volans,93
