,GENUS,SPECIES,Match
0,Odocoileus,Odocoileus virginianus texanus,179
1,Capra,Capra hircus,177
2,Oryx,Oryx dammah,175
3,Moschus,Moschus berezovskii,175
4,Dama,Dama dama,174
5,Cervus,Cervus elaphus,173
6,Cervus,Cervus canadensis,173
7,Ovis,Ovis aries,172
8,Budorcas,Budorcas taxicolor,172
9,Bubalus,Bubalus kerabau,166
10,Bubalus,Bubalus bubalis,165
11,Bos,Bos javanicus,164
12,Bos,Bos indicus x Bos taurus,164
13,Bos,Bos taurus,164
14,Bos,Bos mutus,164
15,Bison,Bison bison bison,164
16,Bos,Bos indicus,163
17,Vicugna,Vicugna pacos,160
18,Phacochoerus,Phacochoerus africanus,159
19,Meles,Meles meles,157
20,Mustela,Mustela nigripes,156
21,Mustela,Mustela lutreola,156
22,Equus,Equus quagga,156
23,Neogale,Neogale vison,156
24,Mustela,Mustela erminea,156
25,Mustela,Mustela putorius furo,156
26,Equus,Equus caballus,155
27,Tupaia,Tupaia chinensis,155
28,Lutra,Lutra lutra,155
29,Lontra,Lontra canadensis,155
30,Ursus,Ursus americanus,154
31,Equus,Equus asinus,154
32,Ursus,Ursus arctos,154
33,Ailuropoda,Ailuropoda melanoleuca,154
34,Chlorocebus,Chlorocebus sabaeus,153
35,Rhinopithecus,Rhinopithecus roxellana,153
36,Piliocolobus,Piliocolobus tephrosceles,153
37,Neophocaena,Neophocaena asiaeorientalis,153
38,Sus,Sus scrofa,153
39,Sus,Sus scrofa domesticus,153
40,Camelus,Camelus dromedarius,153
41,Macaca,Macaca mulatta,153
42,Nyctereutes,Nyctereutes procyonoides,152
43,Macaca,Macaca thibetana thibetana,152
44,Colobus,Colobus angolensis palliatus,152
45,Propithecus,Propithecus coquereli,152
46,Vulpes,Vulpes vulpes,152
47,Vulpes,Vulpes lagopus,152
48,Camelus,Camelus bactrianus,152
49,Canis,Canis lupus dingo,152
50,Camelus,Camelus ferus,152
51,Ursus,Ursus maritimus,152
52,Rhinopithecus,Rhinopithecus bieti,152
53,Macaca,Macaca fascicularis,152
54,Galeopterus,Galeopterus variegatus,151
55,Rhinolophus,Rhinolophus sinicus,151
56,Panthera,Panthera uncia,151
57,Leopardus,Leopardus geoffroyi,151
58,Cercocebus,Cercocebus atys,151
59,Mandrillus,Mandrillus leucophaeus,151
60,Papio,Papio anubis,151
61,Panthera,Panthera leo,151
62,Panthera,Panthera onca,151
63,Theropithecus,Theropithecus gelada,151
64,Pipistrellus,Pipistrellus kuhlii,150
