,GENUS,SPECIES,Match
0,Elephas,Elephas maximus indicus,101
1,Loxodonta,Loxodonta africana,101
2,Cynocephalus,Cynocephalus volans,84
3,Vulpes,Vulpes lagopus,81
4,Manis,Manis javanica,81
5,Vulpes,Vulpes vulpes,81
6,Nyctereutes,Nyctereutes procyonoides,81
7,Canis,Canis lupus dingo,81
8,Callorhinus,Callorhinus ursinus,80
9,Ailuropoda,Ailuropoda melanoleuca,80
10,Choloepus,Choloepus didactylus,80
11,Galeopterus,Galeopterus variegatus,80
12,Eumetopias,Eumetopias jubatus,79
13,Odobenus,Odobenus rosmarus divergens,79
14,Panthera,Panthera leo,78
15,Panthera,Panthera onca,78
16,Panthera,Panthera uncia,78
17,Pan,Pan troglodytes,77
18,Manis,Manis pentadactyla,77
19,Ursus,Ursus arctos,77
20,Ursus,Ursus americanus,77
21,Pan,Pan paniscus,77
22,Panthera,Panthera tigris,77
23,Gorilla,Gorilla gorilla gorilla,77
24,Zalophus,Zalophus californianus,77
25,Ursus,Ursus maritimus,76
26,Hylobates,Hylobates moloch,76
27,Cebus,Cebus imitator,76
28,Homo,Homo sapiens,75
29,Lutra,Lutra lutra,75
30,Propithecus,Propithecus coquereli,75
31,Lontra,Lontra canadensis,75
32,Equus,Equus caballus,75
33,Lemur,Lemur catta,75
34,Nomascus,Nomascus leucogenys,75
35,Sapajus,Sapajus apella,75
36,Symphalangus,Symphalangus syndactylus,75
37,Diceros,Diceros bicornis minor,74
38,Lepus,Lepus europaeus,74
39,Condylura,Condylura cristata,74
40,Canis,Canis lupus familiaris,74
41,Talpa,Talpa occidentalis,74
42,Hyaena,Hyaena hyaena,74
43,Equus,Equus quagga,74
44,Erinaceus,Erinaceus europaeus,74
45,Equus,Equus asinus,74
46,Mirounga,Mirounga angustirostris,74
47,Phoca,Phoca vitulina,73
48,Sciurus,Sciurus carolinensis,73
49,Neofelis,Neofelis nebulosa,73
50,Urocitellus,Urocitellus parryii,73
51,Pongo,Pongo pygmaeus,73
52,Prionailurus,Prionailurus viverrinus,73
53,Halichoerus,Halichoerus grypus,73
54,Rhinolophus,Rhinolophus sinicus,73
55,Ictidomys,Ictidomys tridecemlineatus,73
56,Prionailurus,Prionailurus bengalensis,73
57,Marmota,Marmota marmota marmota,72
58,Neogale,Neogale vison,72
59,Mirounga,Mirounga leonina,72
60,Mustela,Mustela putorius furo,72
61,Marmota,Marmota monax,72
62,Trichechus,Trichechus manatus latirostris,72
63,Nannospalax,Nannospalax galili,72
64,Oryctolagus,Oryctolagus cuniculus,72
65,Mustela,Mustela erminea,72
66,Acinonyx,Acinonyx jubatus,72
67,Lynx,Lynx canadensis,72
68,Lynx,Lynx rufus,72
69,Leopardus,Leopardus geoffroyi,72
70,Mustela,Mustela lutreola,72
71,Marmota,Marmota flaviventris,72
72,Pongo,Pongo abelii,72
73,Otolemur,Otolemur garnettii,72
74,Ochotona,Ochotona princeps,72
