,GENUS,SPECIES,Match
0,Elephas,Elephas maximus indicus,112
1,Loxodonta,Loxodonta africana,110
2,Ailuropoda,Ailuropoda melanoleuca,85
3,Cynocephalus,Cynocephalus volans,85
4,Choloepus,Choloepus didactylus,85
5,Callorhinus,Callorhinus ursinus,84
6,Galeopterus,Galeopterus variegatus,84
7,Ursus,Ursus americanus,83
8,Lemur,Lemur catta,83
9,Panthera,Panthera uncia,83
10,Propithecus,Propithecus coquereli,83
11,Lontra,Lontra canadensis,83
12,Panthera,Panthera leo,83
13,Panthera,Panthera onca,83
14,Hyaena,Hyaena hyaena,83
15,Eumetopias,Eumetopias jubatus,83
16,Ursus,Ursus arctos,83
17,Mustela,Mustela lutreola,82
18,Mustela,Mustela nigripes,82
19,Lutra,Lutra lutra,82
20,Ursus,Ursus maritimus,82
21,Hippopotamus,Hippopotamus amphibius kiboko,82
22,Neogale,Neogale vison,82
23,Mustela,Mustela putorius furo,82
24,Mustela,Mustela erminea,82
25,Phoca,Phoca vitulina,81
26,Zalophus,Zalophus californianus,81
27,Odobenus,Odobenus rosmarus divergens,81
28,Halichoerus,Halichoerus grypus,81
29,Mirounga,Mirounga angustirostris,81
30,Vulpes,Vulpes vulpes,80
31,Prionailurus,Prionailurus viverrinus,80
32,Lepus,Lepus europaeus,80
33,Vulpes,Vulpes lagopus,80
34,Mirounga,Mirounga leonina,80
35,Canis,Canis lupus dingo,80
36,Jaculus,Jaculus jaculus,80
37,Marmota,Marmota monax,80
38,Panthera,Panthera tigris,80
39,Marmota,Marmota flaviventris,80
40,Nannospalax,Nannospalax galili,80
41,Prionailurus,Prionailurus bengalensis,80
42,Marmota,Marmota marmota marmota,80
43,Phyllostomus,Phyllostomus hastatus,79
44,Pan,Pan paniscus,79
45,Lynx,Lynx rufus,79
46,Microcebus,Microcebus murinus,79
47,Nyctereutes,Nyctereutes procyonoides,79
48,Acinonyx,Acinonyx jubatus,79
49,Felis,Felis catus,79
50,Urocitellus,Urocitellus parryii,79
51,Artibeus,Artibeus jamaicensis,79
52,Hylobates,Hylobates moloch,79
53,Pan,Pan troglodytes,79
54,Leopardus,Leopardus geoffroyi,79
55,Symphalangus,Symphalangus syndactylus,79
56,Lynx,Lynx canadensis,79
57,Meles,Meles meles,79
58,Neofelis,Neofelis nebulosa,79
59,Rousettus,Rousettus aegyptiacus,78
60,Sorex,Sorex fumeus,78
61,Condylura,Condylura cristata,78
62,Sciurus,Sciurus carolinensis,78
63,Pongo,Pongo pygmaeus,78
64,Gorilla,Gorilla gorilla gorilla,78
65,Bubalus,Bubalus kerabau,78
66,Tupaia,Tupaia chinensis,78
67,Bubalus,Bubalus bubalis,78
68,Oryctolagus,Oryctolagus cuniculus,78
69,Phyllostomus,Phyllostomus discolor,78
70,Trichechus,Trichechus manatus latirostris,78
71,Pongo,Pongo abelii,77
72,Suricata,Suricata suricatta,77
