,GENUS,SPECIES,Match
0,Elephas,Elephas maximus indicus,123
1,Loxodonta,Loxodonta africana,119
2,Propithecus,Propithecus coquereli,96
3,Panthera,Panthera leo,94
4,Panthera,Panthera onca,94
5,Panthera,Panthera uncia,94
6,Panthera,Panthera tigris,92
7,Callorhinus,Callorhinus ursinus,92
8,Lemur,Lemur catta,91
9,Ursus,Ursus americanus,91
10,Prionailurus,Prionailurus bengalensis,91
11,Ursus,Ursus arctos,91
12,Canis,Canis lupus dingo,91
13,Eumetopias,Eumetopias jubatus,91
14,Prionailurus,Prionailurus viverrinus,91
15,Hyaena,Hyaena hyaena,90
16,Nyctereutes,Nyctereutes procyonoides,90
17,Lynx,Lynx canadensis,90
18,Acinonyx,Acinonyx jubatus,90
19,Ursus,Ursus maritimus,90
20,Vulpes,Vulpes lagopus,90
21,Equus,Equus caballus,90
22,Neofelis,Neofelis nebulosa,90
23,Vulpes,Vulpes vulpes,90
24,Lynx,Lynx rufus,90
25,Jaculus,Jaculus jaculus,90
26,Ailuropoda,Ailuropoda melanoleuca,90
27,Leopardus,Leopardus geoffroyi,90
28,Zalophus,Zalophus californianus,89
29,Lutra,Lutra lutra,89
30,Equus,Equus quagga,89
31,Canis,Canis lupus familiaris,89
32,Felis,Felis catus,89
33,Suricata,Suricata suricatta,89
34,Odobenus,Odobenus rosmarus divergens,88
35,Neogale,Neogale vison,88
36,Condylura,Condylura cristata,88
37,Mustela,Mustela putorius furo,88
38,Phoca,Phoca vitulina,88
39,Galeopterus,Galeopterus variegatus,88
40,Lepus,Lepus europaeus,88
41,Nannospalax,Nannospalax galili,88
42,Mustela,Mustela nigripes,88
43,Mustela,Mustela erminea,88
44,Mustela,Mustela lutreola,88
45,Hylobates,Hylobates moloch,88
46,Sorex,Sorex fumeus,88
47,Sorex,Sorex araneus,88
48,Halichoerus,Halichoerus grypus,87
49,Mirounga,Mirounga angustirostris,87
50,Symphalangus,Symphalangus syndactylus,87
51,Trichechus,Trichechus manatus latirostris,87
52,Mus,Mus caroli,87
53,Lontra,Lontra canadensis,87
54,Panthera,Panthera pardus,87
55,Talpa,Talpa occidentalis,87
56,Cynocephalus,Cynocephalus volans,87
57,Equus,Equus asinus,86
58,Meles,Meles meles,86
59,Odocoileus,Odocoileus virginianus texanus,86
60,Echinops,Echinops telfairi,86
61,Pan,Pan troglodytes,86
62,Oryctolagus,Oryctolagus cuniculus,86
63,Pan,Pan paniscus,86
64,Grammomys,Grammomys surdaster,86
65,Ochotona,Ochotona princeps,85
66,Capra,Capra hircus,85
67,Mastomys,Mastomys coucha,85
68,Erinaceus,Erinaceus europaeus,85
69,Choloepus,Choloepus didactylus,85
70,Hippopotamus,Hippopotamus amphibius kiboko,85
71,Hipposideros,Hipposideros armiger,85
72,Pongo,Pongo pygmaeus,85
73,Oryx,Oryx dammah,85
74,Microcebus,Microcebus murinus,85
75,Gorilla,Gorilla gorilla gorilla,85
76,Mirounga,Mirounga leonina,85
77,Bos,Bos indicus,84
78,Bos,Bos indicus x Bos taurus,84
79,Dama,Dama dama,84
80,Bos,Bos javanicus,84
81,Pongo,Pongo abelii,84
82,Cervus,Cervus canadensis,84
