,GENUS,SPECIES,Match
0,Equus,Equus caballus,141
1,Equus,Equus asinus,141
2,Equus,Equus quagga,141
3,Camelus,Camelus bactrianus,122
4,Camelus,Camelus ferus,122
5,Vicugna,Vicugna pacos,121
6,Diceros,Diceros bicornis minor,120
7,Camelus,Camelus dromedarius,119
8,Lepus,Lepus europaeus,118
9,Neofelis,Neofelis nebulosa,118
10,Lynx,Lynx rufus,117
11,Panthera,Panthera uncia,117
12,Lynx,Lynx canadensis,117
13,Prionailurus,Prionailurus viverrinus,117
14,Felis,Felis catus,117
15,Prionailurus,Prionailurus bengalensis,117
16,Acinonyx,Acinonyx jubatus,117
17,Panthera,Panthera leo,117
18,Panthera,Panthera onca,117
19,Panthera,Panthera pardus,116
20,Canis,Canis lupus familiaris,116
21,Urocitellus,Urocitellus parryii,116
22,Oryctolagus,Oryctolagus cuniculus,116
23,Leopardus,Leopardus geoffroyi,115
24,Suricata,Suricata suricatta,115
25,Propithecus,Propithecus coquereli,115
26,Panthera,Panthera tigris,115
27,Vulpes,Vulpes lagopus,115
28,Vulpes,Vulpes vulpes,115
29,Marmota,Marmota monax,114
30,Nyctereutes,Nyctereutes procyonoides,114
31,Marmota,Marmota flaviventris,114
32,Sciurus,Sciurus carolinensis,114
33,Rhinolophus,Rhinolophus sinicus,114
34,Canis,Canis lupus dingo,114
35,Marmota,Marmota marmota marmota,114
36,Tupaia,Tupaia chinensis,113
37,Phacochoerus,Phacochoerus africanus,113
38,Galeopterus,Galeopterus variegatus,113
39,Castor,Castor canadensis,112
40,Cynocephalus,Cynocephalus volans,112
41,Trachypithecus,Trachypithecus francoisi,112
42,Chlorocebus,Chlorocebus sabaeus,112
43,Rhinopithecus,Rhinopithecus bieti,111
44,Sus,Sus scrofa domesticus,111
45,Ailuropoda,Ailuropoda melanoleuca,111
46,Sus,Sus scrofa,111
47,Papio,Papio anubis,111
48,Dama,Dama dama,111
49,Ictidomys,Ictidomys tridecemlineatus,111
50,Piliocolobus,Piliocolobus tephrosceles,110
51,Mustela,Mustela putorius furo,110
52,Moschus,Moschus berezovskii,110
53,Mustela,Mustela lutreola,110
54,Cervus,Cervus canadensis,110
55,Cervus,Cervus elaphus,110
56,Neogale,Neogale vison,110
57,Nannospalax,Nannospalax galili,110
58,Mustela,Mustela erminea,110
