,GENUS,SPECIES,Match
0,Equus,Equus quagga,146
1,Equus,Equus caballus,146
2,Equus,Equus asinus,141
3,Sus,Sus scrofa domesticus,131
4,Sus,Sus scrofa,131
5,Phacochoerus,Phacochoerus africanus,130
6,Vicugna,Vicugna pacos,125
7,Neofelis,Neofelis nebulosa,124
8,Acinonyx,Acinonyx jubatus,123
9,Panthera,Panthera leo,123
10,Panthera,Panthera onca,123
11,Panthera,Panthera uncia,123
12,Prionailurus,Prionailurus bengalensis,123
13,Lynx,Lynx rufus,123
14,Lynx,Lynx canadensis,123
15,Felis,Felis catus,123
16,Prionailurus,Prionailurus viverrinus,123
17,Panthera,Panthera tigris,122
18,Diceros,Diceros bicornis minor,121
19,Leopardus,Leopardus geoffroyi,121
20,Nyctereutes,Nyctereutes procyonoides,121
21,Oryctolagus,Oryctolagus cuniculus,121
22,Camelus,Camelus ferus,121
23,Camelus,Camelus bactrianus,121
24,Panthera,Panthera pardus,121
25,Lepus,Lepus europaeus,120
26,Canis,Canis lupus familiaris,120
27,Suricata,Suricata suricatta,119
28,Camelus,Camelus dromedarius,119
29,Canis,Canis lupus dingo,119
30,Chlorocebus,Chlorocebus sabaeus,119
31,Urocitellus,Urocitellus parryii,119
32,Mustela,Mustela lutreola,118
33,Neogale,Neogale vison,118
34,Mustela,Mustela putorius furo,118
35,Papio,Papio anubis,118
36,Mustela,Mustela erminea,118
37,Ailuropoda,Ailuropoda melanoleuca,118
38,Mustela,Mustela nigripes,118
39,Vulpes,Vulpes lagopus,117
40,Ursus,Ursus arctos,117
41,Vulpes,Vulpes vulpes,117
42,Macaca,Macaca mulatta,117
43,Ursus,Ursus americanus,117
44,Ursus,Ursus maritimus,117
45,Lutra,Lutra lutra,117
46,Marmota,Marmota marmota marmota,116
47,Marmota,Marmota monax,116
48,Marmota,Marmota flaviventris,116
49,Moschus,Moschus berezovskii,116
50,Meles,Meles meles,116
51,Rhinopithecus,Rhinopithecus bieti,116
52,Piliocolobus,Piliocolobus tephrosceles,116
53,Mandrillus,Mandrillus leucophaeus,115
54,Rhinolophus,Rhinolophus sinicus,115
55,Rhinopithecus,Rhinopithecus roxellana,115
56,Otolemur,Otolemur garnettii,115
57,Cercocebus,Cercocebus atys,115
58,Ochotona,Ochotona curzoniae,115
59,Theropithecus,Theropithecus gelada,115
60,Macaca,Macaca fascicularis,114
61,Oryx,Oryx dammah,114
62,Sciurus,Sciurus carolinensis,114
63,Ovis,Ovis aries,114
64,Odocoileus,Odocoileus virginianus texanus,114
65,Lontra,Lontra canadensis,114
66,Colobus,Colobus angolensis palliatus,114
67,Macaca,Macaca thibetana thibetana,114
68,Trachypithecus,Trachypithecus francoisi,114
69,Ochotona,Ochotona princeps,114
70,Capra,Capra hircus,114
71,Bos,Bos taurus,113
72,Bos,Bos indicus x Bos taurus,113
73,Bos,Bos indicus,113
74,Sorex,Sorex fumeus,113
75,Callithrix,Callithrix jacchus,113
76,Sorex,Sorex araneus,113
77,Bos,Bos javanicus,113
78,Manis,Manis javanica,113
79,Bison,Bison bison bison,113
80,Nycticebus,Nycticebus coucang,113
81,Castor,Castor canadensis,113
82,Dama,Dama dama,113
83,Sturnira,Sturnira hondurensis,112
84,Cervus,Cervus elaphus,112
85,Nannospalax,Nannospalax galili,112
86,Rhinolophus,Rhinolophus ferrumequinum,112
87,Propithecus,Propithecus coquereli,112
88,Bos,Bos mutus,112
89,Saimiri,Saimiri boliviensis boliviensis,112
90,Budorcas,Budorcas taxicolor,112
91,Phoca,Phoca vitulina,112
92,Cervus,Cervus canadensis,112
93,Homo,Homo sapiens,111
94,Ictidomys,Ictidomys tridecemlineatus,111
95,Hyaena,Hyaena hyaena,111
96,Halichoerus,Halichoerus grypus,111
97,Callorhinus,Callorhinus ursinus,111
98,Tupaia,Tupaia chinensis,111
99,Eumetopias,Eumetopias jubatus,111
100,Bubalus,Bubalus bubalis,110
101,Bubalus,Bubalus kerabau,110
102,Nomascus,Nomascus leucogenys,110
103,Neophocaena,Neophocaena asiaeorientalis,110
104,Macaca,Macaca nemestrina,110
105,Gorilla,Gorilla gorilla gorilla,109
106,Choloepus,Choloepus didactylus,109
107,Pteropus,Pteropus giganteus,109
108,Hylobates,Hylobates moloch,109
109,Pongo,Pongo abelii,109
110,Pongo,Pongo pygmaeus,109
111,Octodon,Octodon degus,109
112,Desmodus,Desmodus rotundus,109
113,Symphalangus,Symphalangus syndactylus,109
114,Artibeus,Artibeus jamaicensis,109
115,Mirounga,Mirounga leonina,108
116,Rattus,Rattus norvegicus,108
117,Orcinus,Orcinus orca,108
118,Dipodomys,Dipodomys ordii,108
119,Lemur,Lemur catta,108
120,Galeopterus,Galeopterus variegatus,108
121,Phodopus,Phodopus roborovskii,108
122,Microcebus,Microcebus murinus,107
123,Pipistrellus,Pipistrellus kuhlii,107
124,Rousettus,Rousettus aegyptiacus,107
125,Talpa,Talpa occidentalis,107
126,Lagenorhynchus,Lagenorhynchus albirostris,107
127,Aotus,Aotus nancymaae,107
128,Erinaceus,Erinaceus europaeus,107
129,Cynocephalus,Cynocephalus volans,107
130,Cricetulus,Cricetulus griseus,107
131,Elephas,Elephas maximus indicus,107
132,Delphinus,Delphinus delphis,107
133,Condylura,Condylura cristata,107
134,Mirounga,Mirounga angustirostris,107
135,Lagenorhynchus,Lagenorhynchus obliquidens,107
136,Phyllostomus,Phyllostomus discolor,107
137,Tursiops,Tursiops truncatus,107
138,Cebus,Cebus imitator,107
139,Odobenus,Odobenus rosmarus divergens,107
140,Monodon,Monodon monoceros,106
141,Globicephala,Globicephala melas,106
142,Phyllostomus,Phyllostomus hastatus,106
143,Molossus,Molossus molossus,106
144,Manis,Manis pentadactyla,106
145,Hippopotamus,Hippopotamus amphibius kiboko,106
146,Cavia,Cavia porcellus,105
147,Eptesicus,Eptesicus fuscus,105
148,Dasypus,Dasypus novemcinctus,105
149,Jaculus,Jaculus jaculus,105
150,Zalophus,Zalophus californianus,105
151,Delphinapterus,Delphinapterus leucas,105
152,Carlito,Carlito syrichta,105
153,Sapajus,Sapajus apella,105
154,Dipodomys,Dipodomys spectabilis,105
155,Pan,Pan troglodytes,105
156,Myodes,Myodes glareolus,105
157,Pan,Pan paniscus,105
158,Pteronotus,Pteronotus parnellii mesoamericanus,104
159,Balaenoptera,Balaenoptera acutorostrata,104
160,Psammomys,Psammomys obesus,104
161,Eubalaena,Eubalaena glacialis,104
162,Microtus,Microtus oregoni,104
163,Microtus,Microtus fortis,104
164,Mesocricetus,Mesocricetus auratus,104
165,Phocoena,Phocoena sinus,103
166,Neomonachus,Neomonachus schauinslandi,103
167,Onychomys,Onychomys torridus,103
168,Orycteropus,Orycteropus afer afer,103
169,Rattus,Rattus rattus,103
170,Arvicola,Arvicola amphibius,103
171,Balaenoptera,Balaenoptera ricei,103
172,Meriones,Meriones unguiculatus,103
173,Peromyscus,Peromyscus leucopus,102
174,Chinchilla,Chinchilla lanigera,102
175,Myotis,Myotis myotis,102
176,Myotis,Myotis daubentonii,102
177,Chionomys,Chionomys nivalis,101
178,Grammomys,Grammomys surdaster,101
179,Trichechus,Trichechus manatus latirostris,101
180,Microtus,Microtus ochrogaster,101
181,Loxodonta,Loxodonta africana,101
182,Balaenoptera,Balaenoptera musculus,101
183,Heterocephalus,Heterocephalus glaber,100
184,Hipposideros,Hipposideros armiger,100
185,Miniopterus,Miniopterus natalensis,100
186,Perognathus,Perognathus longimembris pacificus,100
187,Peromyscus,Peromyscus maniculatus bairdii,99
188,Physeter,Physeter catodon,99
189,Peromyscus,Peromyscus californicus insignis,99
190,Mus,Mus musculus,99
191,Apodemus,Apodemus sylvaticus,98
192,Mastomys,Mastomys coucha,98
193,Kogia,Kogia breviceps,98
194,Arvicanthis,Arvicanthis niloticus,98
195,Myotis,Myotis lucifugus,97
196,Mus,Mus caroli,96
197,Fukomys,Fukomys damarensis,96
198,Mesoplodon,Mesoplodon densirostris,95
199,Suncus,Suncus etruscus,94
200,Acomys,Acomys russatus,91
