,GENUS,SPECIES,Match
0,Apodemus,Apodemus sylvaticus,115
1,Mastomys,Mastomys coucha,113
2,Grammomys,Grammomys surdaster,109
3,Arvicanthis,Arvicanthis niloticus,107
4,Rattus,Rattus rattus,106
5,Rattus,Rattus norvegicus,106
6,Mus,Mus caroli,100
7,Psammomys,Psammomys obesus,96
8,Mus,Mus musculus,95
9,Acomys,Acomys russatus,95
10,Meriones,Meriones unguiculatus,93
11,Peromyscus,Peromyscus leucopus,92
12,Microtus,Microtus fortis,92
13,Microtus,Microtus ochrogaster,91
14,Arvicola,Arvicola amphibius,89
15,Peromyscus,Peromyscus maniculatus bairdii,88
16,Mesocricetus,Mesocricetus auratus,87
17,Myodes,Myodes glareolus,87
18,Chionomys,Chionomys nivalis,86
19,Phodopus,Phodopus roborovskii,86
20,Cricetulus,Cricetulus griseus,85
21,Microtus,Microtus oregoni,84
22,Condylura,Condylura cristata,82
23,Chinchilla,Chinchilla lanigera,82
24,Suncus,Suncus etruscus,82
25,Lepus,Lepus europaeus,82
26,Meles,Meles meles,81
27,Dipodomys,Dipodomys ordii,81
28,Nyctereutes,Nyctereutes procyonoides,81
29,Peromyscus,Peromyscus californicus insignis,81
30,Mirounga,Mirounga angustirostris,80
31,Canis,Canis lupus dingo,80
32,Sorex,Sorex fumeus,80
33,Oryctolagus,Oryctolagus cuniculus,80
34,Perognathus,Perognathus longimembris pacificus,80
35,Sorex,Sorex araneus,80
36,Lutra,Lutra lutra,80
37,Callorhinus,Callorhinus ursinus,80
38,Ursus,Ursus arctos,79
39,Ailuropoda,Ailuropoda melanoleuca,79
40,Vulpes,Vulpes lagopus,79
41,Vulpes,Vulpes vulpes,79
42,Ursus,Ursus americanus,79
43,Mirounga,Mirounga leonina,79
44,Ursus,Ursus maritimus,79
45,Mustela,Mustela putorius furo,78
46,Mustela,Mustela erminea,78
47,Carlito,Carlito syrichta,78
48,Erinaceus,Erinaceus europaeus,78
49,Panthera,Panthera uncia,78
50,Panthera,Panthera onca,78
51,Mustela,Mustela lutreola,78
52,Ictidomys,Ictidomys tridecemlineatus,78
