,GENUS,SPECIES,Match
0,Diceros,Diceros bicornis minor,106
1,Panthera,Panthera uncia,96
2,Panthera,Panthera leo,96
3,Panthera,Panthera onca,96
4,Rousettus,Rousettus aegyptiacus,95
5,Neofelis,Neofelis nebulosa,95
6,Panthera,Panthera tigris,94
7,Prionailurus,Prionailurus viverrinus,94
8,Prionailurus,Prionailurus bengalensis,94
9,Lynx,Lynx canadensis,94
10,Lynx,Lynx rufus,94
11,Felis,Felis catus,94
12,Acinonyx,Acinonyx jubatus,94
13,Nyctereutes,Nyctereutes procyonoides,93
14,Vulpes,Vulpes lagopus,92
15,Canis,Canis lupus dingo,92
16,Hyaena,Hyaena hyaena,92
17,Equus,Equus quagga,92
18,Leopardus,Leopardus geoffroyi,92
19,Vulpes,Vulpes vulpes,92
20,Ursus,Ursus americanus,91
21,Ursus,Ursus maritimus,91
22,Ursus,Ursus arctos,91
23,Equus,Equus asinus,91
24,Equus,Equus caballus,90
25,Panthera,Panthera pardus,90
26,Ailuropoda,Ailuropoda melanoleuca,90
27,Suricata,Suricata suricatta,89
28,Marmota,Marmota flaviventris,89
29,Neogale,Neogale vison,89
30,Mustela,Mustela putorius furo,89
31,Marmota,Marmota monax,89
32,Mustela,Mustela erminea,89
33,Marmota,Marmota marmota marmota,89
34,Mustela,Mustela nigripes,89
35,Pteropus,Pteropus giganteus,89
36,Mustela,Mustela lutreola,89
37,Otolemur,Otolemur garnettii,88
38,Canis,Canis lupus familiaris,88
39,Lontra,Lontra canadensis,88
40,Lutra,Lutra lutra,88
41,Meles,Meles meles,88
42,Tupaia,Tupaia chinensis,85
43,Nycticebus,Nycticebus coucang,85
44,Manis,Manis javanica,84
45,Papio,Papio anubis,84
46,Mandrillus,Mandrillus leucophaeus,83
47,Bubalus,Bubalus kerabau,83
48,Bubalus,Bubalus bubalis,83
49,Cercocebus,Cercocebus atys,83
50,Colobus,Colobus angolensis palliatus,83
51,Neophocaena,Neophocaena asiaeorientalis,83
