,GENUS,SPECIES,Match
0,Diceros,Diceros bicornis minor,136
1,Panthera,Panthera leo,126
2,Panthera,Panthera uncia,126
3,Panthera,Panthera onca,126
4,Felis,Felis catus,124
5,Neofelis,Neofelis nebulosa,124
6,Leopardus,Leopardus geoffroyi,124
7,Acinonyx,Acinonyx jubatus,123
8,Lynx,Lynx canadensis,123
9,Prionailurus,Prionailurus bengalensis,123
10,Prionailurus,Prionailurus viverrinus,123
11,Lynx,Lynx rufus,123
12,Ailuropoda,Ailuropoda melanoleuca,123
13,Panthera,Panthera tigris,123
14,Nyctereutes,Nyctereutes procyonoides,122
15,Ursus,Ursus maritimus,121
16,Ursus,Ursus americanus,121
17,Lepus,Lepus europaeus,121
18,Ursus,Ursus arctos,121
19,Vulpes,Vulpes lagopus,120
20,Oryctolagus,Oryctolagus cuniculus,120
21,Equus,Equus quagga,120
22,Canis,Canis lupus dingo,120
23,Vulpes,Vulpes vulpes,119
24,Equus,Equus caballus,119
25,Panthera,Panthera pardus,119
26,Mustela,Mustela nigripes,118
27,Neogale,Neogale vison,118
28,Mustela,Mustela lutreola,118
29,Mustela,Mustela putorius furo,118
30,Mustela,Mustela erminea,118
31,Equus,Equus asinus,118
32,Lutra,Lutra lutra,117
33,Meles,Meles meles,117
34,Urocitellus,Urocitellus parryii,117
35,Lontra,Lontra canadensis,117
36,Marmota,Marmota monax,116
37,Marmota,Marmota flaviventris,116
38,Marmota,Marmota marmota marmota,116
39,Hyaena,Hyaena hyaena,115
40,Sciurus,Sciurus carolinensis,115
41,Canis,Canis lupus familiaris,115
42,Suricata,Suricata suricatta,114
43,Dipodomys,Dipodomys ordii,114
44,Rousettus,Rousettus aegyptiacus,113
45,Erinaceus,Erinaceus europaeus,112
46,Camelus,Camelus dromedarius,112
47,Manis,Manis javanica,112
48,Sorex,Sorex fumeus,111
49,Vicugna,Vicugna pacos,111
50,Rhinolophus,Rhinolophus sinicus,111
51,Phacochoerus,Phacochoerus africanus,111
52,Choloepus,Choloepus didactylus,111
53,Ictidomys,Ictidomys tridecemlineatus,111
