,GENUS,SPECIES,Match
0,Diceros,Diceros bicornis minor,136
1,Panthera,Panthera onca,133
2,Panthera,Panthera leo,133
3,Panthera,Panthera uncia,133
4,Neofelis,Neofelis nebulosa,132
5,Leopardus,Leopardus geoffroyi,132
6,Prionailurus,Prionailurus viverrinus,132
7,Felis,Felis catus,132
8,Panthera,Panthera tigris,132
9,Acinonyx,Acinonyx jubatus,132
10,Lynx,Lynx rufus,132
11,Lynx,Lynx canadensis,132
12,Prionailurus,Prionailurus bengalensis,132
13,Nyctereutes,Nyctereutes procyonoides,129
14,Ailuropoda,Ailuropoda melanoleuca,129
15,Panthera,Panthera pardus,128
16,Ursus,Ursus maritimus,127
17,Equus,Equus quagga,127
18,Ursus,Ursus americanus,127
19,Ursus,Ursus arctos,127
20,Hyaena,Hyaena hyaena,127
21,Vulpes,Vulpes lagopus,127
22,Canis,Canis lupus dingo,127
23,Suricata,Suricata suricatta,127
24,Vulpes,Vulpes vulpes,126
25,Equus,Equus caballus,126
26,Canis,Canis lupus familiaris,125
27,Manis,Manis javanica,124
28,Equus,Equus asinus,124
29,Oryctolagus,Oryctolagus cuniculus,122
30,Lepus,Lepus europaeus,121
31,Erinaceus,Erinaceus europaeus,121
32,Dipodomys,Dipodomys spectabilis,119
33,Lutra,Lutra lutra,118
34,Mustela,Mustela lutreola,118
35,Rhinolophus,Rhinolophus sinicus,118
36,Mustela,Mustela erminea,118
37,Neogale,Neogale vison,118
38,Camelus,Camelus dromedarius,118
39,Hippopotamus,Hippopotamus amphibius kiboko,118
40,Mustela,Mustela putorius furo,118
41,Mustela,Mustela nigripes,118
42,Meles,Meles meles,117
43,Rhinolophus,Rhinolophus ferrumequinum,117
44,Pteropus,Pteropus giganteus,117
45,Vicugna,Vicugna pacos,117
46,Marmota,Marmota marmota marmota,117
47,Dipodomys,Dipodomys ordii,117
48,Marmota,Marmota monax,117
49,Marmota,Marmota flaviventris,117
50,Rousettus,Rousettus aegyptiacus,116
51,Otolemur,Otolemur garnettii,116
52,Sciurus,Sciurus carolinensis,116
53,Urocitellus,Urocitellus parryii,116
54,Bos,Bos taurus,116
55,Rattus,Rattus norvegicus,116
56,Bos,Bos indicus,116
57,Phacochoerus,Phacochoerus africanus,116
58,Lontra,Lontra canadensis,116
59,Manis,Manis pentadactyla,116
60,Bison,Bison bison bison,116
61,Bos,Bos indicus x Bos taurus,116
62,Bos,Bos mutus,116
63,Bubalus,Bubalus kerabau,116
64,Bos,Bos javanicus,116
65,Choloepus,Choloepus didactylus,115
66,Jaculus,Jaculus jaculus,115
67,Bubalus,Bubalus bubalis,115
68,Sorex,Sorex fumeus,114
