,GENUS,SPECIES,Match
0,Diceros,Diceros bicornis minor,109
1,Panthera,Panthera onca,102
2,Panthera,Panthera uncia,102
3,Panthera,Panthera leo,102
4,Panthera,Panthera tigris,102
5,Neofelis,Neofelis nebulosa,101
6,Leopardus,Leopardus geoffroyi,101
7,Felis,Felis catus,100
8,Lynx,Lynx canadensis,100
9,Prionailurus,Prionailurus viverrinus,100
10,Acinonyx,Acinonyx jubatus,100
11,Equus,Equus quagga,100
12,Nyctereutes,Nyctereutes procyonoides,100
13,Lynx,Lynx rufus,100
14,Prionailurus,Prionailurus bengalensis,100
15,Phacochoerus,Phacochoerus africanus,99
16,Equus,Equus caballus,99
17,Ailuropoda,Ailuropoda melanoleuca,99
18,Ursus,Ursus maritimus,98
19,Ursus,Ursus arctos,98
20,Ursus,Ursus americanus,98
21,Vulpes,Vulpes lagopus,98
22,Panthera,Panthera pardus,98
23,Canis,Canis lupus dingo,98
24,Equus,Equus asinus,98
25,Vulpes,Vulpes vulpes,97
26,Marmota,Marmota marmota marmota,95
27,Marmota,Marmota monax,95
28,Marmota,Marmota flaviventris,95
29,Urocitellus,Urocitellus parryii,94
30,Lontra,Lontra canadensis,94
31,Halichoerus,Halichoerus grypus,94
32,Mustela,Mustela putorius furo,93
33,Phoca,Phoca vitulina,93
34,Lutra,Lutra lutra,93
35,Neogale,Neogale vison,93
36,Dipodomys,Dipodomys spectabilis,93
37,Mustela,Mustela erminea,93
38,Mustela,Mustela nigripes,93
39,Canis,Canis lupus familiaris,93
40,Dipodomys,Dipodomys ordii,93
41,Ictidomys,Ictidomys tridecemlineatus,93
42,Meles,Meles meles,93
43,Mustela,Mustela lutreola,93
44,Erinaceus,Erinaceus europaeus,92
45,Suricata,Suricata suricatta,92
46,Hyaena,Hyaena hyaena,92
47,Mirounga,Mirounga angustirostris,92
48,Oryctolagus,Oryctolagus cuniculus,92
49,Rousettus,Rousettus aegyptiacus,92
50,Pteropus,Pteropus giganteus,92
51,Manis,Manis javanica,91
52,Sus,Sus scrofa,91
53,Lepus,Lepus europaeus,91
54,Sus,Sus scrofa domesticus,91
55,Mirounga,Mirounga leonina,90
56,Tupaia,Tupaia chinensis,90
57,Bubalus,Bubalus bubalis,90
58,Sciurus,Sciurus carolinensis,90
59,Bubalus,Bubalus kerabau,90
60,Bos,Bos taurus,89
61,Bos,Bos javanicus,89
62,Bos,Bos indicus x Bos taurus,89
63,Hippopotamus,Hippopotamus amphibius kiboko,89
64,Bos,Bos mutus,89
65,Bison,Bison bison bison,89
66,Vicugna,Vicugna pacos,89
67,Bos,Bos indicus,89
68,Neomonachus,Neomonachus schauinslandi,89
69,Camelus,Camelus dromedarius,89
70,Manis,Manis pentadactyla,88
71,Odobenus,Odobenus rosmarus divergens,88
72,Callorhinus,Callorhinus ursinus,88
73,Talpa,Talpa occidentalis,88
74,Jaculus,Jaculus jaculus,88
75,Eumetopias,Eumetopias jubatus,87
76,Colobus,Colobus angolensis palliatus,87
77,Piliocolobus,Piliocolobus tephrosceles,87
78,Otolemur,Otolemur garnettii,87
79,Perognathus,Perognathus longimembris pacificus,87
80,Desmodus,Desmodus rotundus,87
81,Papio,Papio anubis,86
82,Gorilla,Gorilla gorilla gorilla,86
83,Pongo,Pongo pygmaeus,86
84,Neophocaena,Neophocaena asiaeorientalis,86
85,Zalophus,Zalophus californianus,86
86,Cynocephalus,Cynocephalus volans,85
87,Sorex,Sorex fumeus,85
88,Mandrillus,Mandrillus leucophaeus,85
89,Pongo,Pongo abelii,85
90,Cebus,Cebus imitator,85
91,Rhinopithecus,Rhinopithecus roxellana,85
92,Ochotona,Ochotona curzoniae,85
93,Galeopterus,Galeopterus variegatus,85
94,Cercocebus,Cercocebus atys,85
95,Homo,Homo sapiens,85
96,Sturnira,Sturnira hondurensis,85
97,Ochotona,Ochotona princeps,85
98,Camelus,Camelus bactrianus,84
99,Moschus,Moschus berezovskii,84
100,Camelus,Camelus ferus,84
101,Sapajus,Sapajus apella,84
102,Hylobates,Hylobates moloch,84
103,Theropithecus,Theropithecus gelada,84
104,Chinchilla,Chinchilla lanigera,84
105,Budorcas,Budorcas taxicolor,84
106,Rhinolophus,Rhinolophus sinicus,84
107,Choloepus,Choloepus didactylus,84
108,Dama,Dama dama,84
109,Sorex,Sorex araneus,83
110,Molossus,Molossus molossus,83
111,Cervus,Cervus elaphus,83
112,Pan,Pan troglodytes,83
113,Oryx,Oryx dammah,83
114,Fukomys,Fukomys damarensis,83
115,Pan,Pan paniscus,83
116,Condylura,Condylura cristata,83
117,Saimiri,Saimiri boliviensis boliviensis,83
