,GENUS,SPECIES,Match
0,Ailuropoda,Ailuropoda melanoleuca,159
1,Ursus,Ursus arctos,155
2,Ursus,Ursus americanus,155
3,Ursus,Ursus maritimus,154
4,Lutra,Lutra lutra,153
5,Nyctereutes,Nyctereutes procyonoides,152
6,Canis,Canis lupus dingo,152
7,Vulpes,Vulpes lagopus,151
8,Vulpes,Vulpes vulpes,150
9,Mustela,Mustela lutreola,149
10,Mustela,Mustela nigripes,149
11,Neofelis,Neofelis nebulosa,149
12,Mustela,Mustela putorius furo,149
13,Mustela,Mustela erminea,149
14,Neogale,Neogale vison,149
15,Panthera,Panthera uncia,148
16,Prionailurus,Prionailurus viverrinus,148
17,Prionailurus,Prionailurus bengalensis,148
18,Panthera,Panthera tigris,148
19,Panthera,Panthera onca,148
20,Panthera,Panthera leo,148
21,Canis,Canis lupus familiaris,148
22,Phoca,Phoca vitulina,147
23,Callorhinus,Callorhinus ursinus,147
24,Lynx,Lynx rufus,147
25,Lynx,Lynx canadensis,147
26,Felis,Felis catus,147
27,Acinonyx,Acinonyx jubatus,147
28,Eumetopias,Eumetopias jubatus,147
29,Meles,Meles meles,147
30,Mirounga,Mirounga angustirostris,146
31,Lontra,Lontra canadensis,146
32,Odobenus,Odobenus rosmarus divergens,145
33,Suricata,Suricata suricatta,145
34,Leopardus,Leopardus geoffroyi,145
35,Mirounga,Mirounga leonina,145
36,Zalophus,Zalophus californianus,145
37,Hyaena,Hyaena hyaena,144
38,Neomonachus,Neomonachus schauinslandi,144
39,Halichoerus,Halichoerus grypus,144
40,Vicugna,Vicugna pacos,144
41,Equus,Equus quagga,143
42,Camelus,Camelus dromedarius,143
43,Equus,Equus caballus,142
44,Bubalus,Bubalus bubalis,141
45,Diceros,Diceros bicornis minor,141
46,Panthera,Panthera pardus,141
47,Bos,Bos indicus,140
48,Bison,Bison bison bison,140
49,Bos,Bos indicus x Bos taurus,140
50,Bubalus,Bubalus kerabau,140
51,Bos,Bos taurus,140
52,Equus,Equus asinus,140
53,Bos,Bos javanicus,140
54,Bos,Bos mutus,139
55,Desmodus,Desmodus rotundus,139
56,Callithrix,Callithrix jacchus,139
57,Manis,Manis javanica,139
