,species,genus,subfamily,family,order,Match,Maximum Possible
0,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,134,231
1,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,133,231
2,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,126,231
3,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,126,231
4,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,126,231
5,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,126,231
6,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,125,231
7,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,125,231
8,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,124,231
9,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,121,231
10,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,120,231
11,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,120,231
12,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,120,231
13,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,120,231
14,Felis catus,Felis,Felinae,Felidae,Carnivora,120,231
15,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,119,231
16,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,119,231
17,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,119,231
18,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,118,231
19,Ursus americanus,Ursus,,Ursidae,Carnivora,118,231
20,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,118,231
21,Ursus arctos,Ursus,,Ursidae,Carnivora,118,231
22,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,118,231
23,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,118,231
24,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,118,231
25,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,118,231
26,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,118,231
27,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,117,231
