,species,genus,subfamily,family,order,Match,Maximum Possible
0,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,120,206
1,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,118,206
2,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,118,206
3,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,117,206
4,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,117,206
5,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,115,206
6,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,114,206
7,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,114,206
8,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,113,206
9,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,111,206
10,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,110,206
11,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,110,206
12,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,110,206
13,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,110,206
14,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,110,206
15,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,110,206
16,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,110,206
17,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,109,206
18,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,109,206
19,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,109,206
20,Lemur catta,Lemur,,Lemuridae,Primates,108,206
21,Propithecus coquereli,Propithecus,,Indriidae,Primates,107,206
22,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,105,206
23,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,104,206
24,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,104,206
25,Equus asinus,Equus,,Equidae,Perissodactyla,104,206
26,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,104,206
27,Equus quagga,Equus,,Equidae,Perissodactyla,104,206
28,Equus caballus,Equus,,Equidae,Perissodactyla,104,206
29,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,104,206
30,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,103,206
31,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,103,206
32,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,103,206
33,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,103,206
34,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,103,206
35,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,103,206
36,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,102,206
37,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,102,206
38,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,102,206
39,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,102,206
40,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,102,206
41,Camelus ferus,Camelus,,Camelidae,Artiodactyla,102,206
42,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,102,206
43,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,102,206
44,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,102,206
45,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,102,206
46,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,102,206
47,Molossus molossus,Molossus,,Molossidae,Chiroptera,101,206
48,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,101,206
49,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,101,206
50,Ursus americanus,Ursus,,Ursidae,Carnivora,101,206
51,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,101,206
52,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,101,206
53,Ursus arctos,Ursus,,Ursidae,Carnivora,101,206
54,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,101,206
55,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,101,206
56,Felis catus,Felis,Felinae,Felidae,Carnivora,101,206
57,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,101,206
58,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,101,206
59,Sus scrofa,Sus,,Suidae,Artiodactyla,101,206
60,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,101,206
61,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,101,206
