,species,genus,subfamily,family,order,Match,Maximum Possible
0,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,95,154
1,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,81,154
2,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,81,154
3,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,80,154
4,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,79,154
5,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,79,154
6,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,79,154
7,Meles meles,Meles,Melinae,Mustelidae,Carnivora,79,154
8,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,79,154
9,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,78,154
10,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,78,154
11,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,78,154
12,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,78,154
13,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,78,154
14,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,78,154
15,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,78,154
16,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,78,154
17,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,78,154
18,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,78,154
19,Felis catus,Felis,Felinae,Felidae,Carnivora,78,154
20,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,77,154
21,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,77,154
22,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,77,154
23,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,77,154
24,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,77,154
25,Ursus maritimus,Ursus,,Ursidae,Carnivora,77,154
26,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,77,154
27,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,77,154
28,Ursus arctos,Ursus,,Ursidae,Carnivora,77,154
29,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,77,154
30,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,77,154
31,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,77,154
32,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,77,154
33,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,77,154
34,Ursus americanus,Ursus,,Ursidae,Carnivora,77,154
35,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,77,154
36,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,77,154
37,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera,77,154
38,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,77,154
39,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,77,154
40,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,77,154
41,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,76,154
42,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,76,154
43,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,76,154
44,Canis lupus dingo,Canis,,Canidae,Carnivora,76,154
45,Vulpes lagopus,Vulpes,,Canidae,Carnivora,76,154
46,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,76,154
47,Vulpes vulpes,Vulpes,,Canidae,Carnivora,76,154
48,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,76,154
49,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,75,154
50,Canis lupus familiaris,Canis,,Canidae,Carnivora,75,154
51,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,75,154
52,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,75,154
53,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,75,154
54,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,75,154
55,Tupaia chinensis,Tupaia,,Tupaiidae,Scandentia,75,154
56,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,75,154
57,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,74,154
58,Sus scrofa,Sus,,Suidae,Artiodactyla,74,154
59,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,74,154
60,Miniopterus natalensis,Miniopterus,,Miniopteridae,Chiroptera,74,154
61,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,74,154
62,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,74,154
63,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,74,154
64,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,74,154
65,Camelus ferus,Camelus,,Camelidae,Artiodactyla,74,154
66,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,74,154
67,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,74,154
68,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,74,154
