,species,genus,subfamily,family,order,Match,Maximum Possible
0,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,158,283
1,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,158,283
2,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,156,283
3,Zalophus californianus,Zalophus,,Otariidae,Carnivora,154,283
4,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,153,283
5,Meles meles,Meles,Melinae,Mustelidae,Carnivora,152,283
6,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,152,283
7,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,152,283
8,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,152,283
9,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,152,283
10,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,152,283
11,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,150,283
12,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,148,283
13,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,148,283
14,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,148,283
15,Ursus maritimus,Ursus,,Ursidae,Carnivora,148,283
16,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,148,283
17,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,148,283
18,Ursus arctos,Ursus,,Ursidae,Carnivora,148,283
19,Ursus americanus,Ursus,,Ursidae,Carnivora,148,283
20,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,148,283
21,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,147,283
22,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,147,283
23,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,147,283
24,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,147,283
25,Suricata suricatta,Suricata,,Herpestidae,Carnivora,147,283
26,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,147,283
27,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,147,283
28,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,147,283
29,Felis catus,Felis,Felinae,Felidae,Carnivora,146,283
30,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,145,283
31,Vulpes vulpes,Vulpes,,Canidae,Carnivora,145,283
32,Canis lupus dingo,Canis,,Canidae,Carnivora,144,283
33,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,144,283
34,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,144,283
35,Vulpes lagopus,Vulpes,,Canidae,Carnivora,144,283
36,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,144,283
37,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,142,283
38,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,142,283
39,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,140,283
40,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,139,283
