,species,genus,subfamily,family,order,Match,Maximum Possible
0,Felis catus,Felis,Felinae,Felidae,Carnivora,101,157
1,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,100,157
2,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,100,157
3,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,100,157
4,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,100,157
5,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,100,157
6,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,100,157
7,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,100,157
8,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,100,157
9,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,100,157
10,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,97,157
11,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,97,157
12,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,97,157
13,Suricata suricatta,Suricata,,Herpestidae,Carnivora,97,157
14,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,92,157
15,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,92,157
16,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,92,157
17,Ursus americanus,Ursus,,Ursidae,Carnivora,92,157
18,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,92,157
19,Canis lupus dingo,Canis,,Canidae,Carnivora,92,157
20,Ursus arctos,Ursus,,Ursidae,Carnivora,92,157
21,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,92,157
22,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,92,157
23,Ursus maritimus,Ursus,,Ursidae,Carnivora,92,157
24,Vulpes vulpes,Vulpes,,Canidae,Carnivora,91,157
25,Vulpes lagopus,Vulpes,,Canidae,Carnivora,91,157
