,species,genus,subfamily,family,order,Match,Maximum Possible
0,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,81,145
1,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,79,145
2,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,77,145
3,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,77,145
4,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,76,145
5,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,76,145
6,Zalophus californianus,Zalophus,,Otariidae,Carnivora,75,145
7,Meles meles,Meles,Melinae,Mustelidae,Carnivora,73,145
8,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,72,145
9,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,71,145
10,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,70,145
11,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,70,145
12,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,70,145
13,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,70,145
14,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,70,145
15,Vulpes vulpes,Vulpes,,Canidae,Carnivora,70,145
16,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,70,145
17,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,70,145
18,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,70,145
19,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,70,145
20,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,70,145
21,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,70,145
22,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,70,145
23,Felis catus,Felis,Felinae,Felidae,Carnivora,69,145
24,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,69,145
25,Vulpes lagopus,Vulpes,,Canidae,Carnivora,69,145
26,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,69,145
27,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,69,145
28,Canis lupus familiaris,Canis,,Canidae,Carnivora,68,145
29,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,68,145
30,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,68,145
31,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,68,145
32,Canis lupus dingo,Canis,,Canidae,Carnivora,67,145
33,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,67,145
34,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,67,145
35,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,67,145
36,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,67,145
37,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,66,145
38,Ursus maritimus,Ursus,,Ursidae,Carnivora,66,145
39,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,66,145
40,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,66,145
41,Ursus arctos,Ursus,,Ursidae,Carnivora,66,145
42,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,66,145
43,Suricata suricatta,Suricata,,Herpestidae,Carnivora,66,145
44,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,66,145
45,Ursus americanus,Ursus,,Ursidae,Carnivora,66,145
46,Equus asinus,Equus,,Equidae,Perissodactyla,66,145
47,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,66,145
48,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,66,145
49,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,65,145
50,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,65,145
51,Equus caballus,Equus,,Equidae,Perissodactyla,65,145
52,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,65,145
53,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,65,145
54,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,65,145
55,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,65,145
56,Equus quagga,Equus,,Equidae,Perissodactyla,65,145
57,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,65,145
58,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,64,145
59,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,64,145
60,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,64,145
61,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,64,145
62,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,64,145
63,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,64,145
64,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,64,145
65,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,64,145
66,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,64,145
67,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,64,145
68,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,63,145
69,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,63,145
70,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,63,145
71,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,63,145
72,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,63,145
73,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,63,145
74,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,63,145
75,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,63,145
76,Homo sapiens,Homo,Homininae,Hominidae,Primates,62,145
77,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,62,145
78,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,62,145
79,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,62,145
80,Gorilla gorilla gorilla,Gorilla,Homininae,Hominidae,Primates,62,145
81,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,62,145
82,Symphalangus syndactylus,Symphalangus,,Hylobatidae,Primates,62,145
83,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,62,145
84,Pongo pygmaeus,Pongo,Ponginae,Hominidae,Primates,62,145
85,Pongo abelii,Pongo,Ponginae,Hominidae,Primates,62,145
86,Heterocephalus glaber,Heterocephalus,,Bathyergidae,Rodentia,62,145
87,Hylobates moloch,Hylobates,,Hylobatidae,Primates,62,145
88,Pan paniscus,Pan,Homininae,Hominidae,Primates,62,145
89,Pan troglodytes,Pan,Homininae,Hominidae,Primates,62,145
90,Nomascus leucogenys,Nomascus,,Hylobatidae,Primates,62,145
91,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,61,145
92,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,61,145
93,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,61,145
94,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,61,145
95,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,61,145
96,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,61,145
97,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,61,145
98,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,61,145
99,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,61,145
100,Carlito syrichta,Carlito,,Tarsiidae,Primates,61,145
101,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,61,145
102,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,61,145
103,Aotus nancymaae,Aotus,,Aotidae,Primates,61,145
104,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,60,145
105,Rhinolophus ferrumequinum,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,60,145
106,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,60,145
107,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,60,145
108,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,60,145
109,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,60,145
110,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,60,145
111,Tupaia chinensis,Tupaia,,Tupaiidae,Scandentia,60,145
112,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,60,145
113,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,60,145
114,Manis pentadactyla,Manis,,Manidae,Pholidota,60,145
115,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,60,145
116,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,60,145
117,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,60,145
118,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,60,145
119,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,59,145
120,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,59,145
121,Manis javanica,Manis,,Manidae,Pholidota,59,145
122,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,59,145
123,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,59,145
