,species,genus,subfamily,family,order,Match,Maximum Possible
0,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,151,300
1,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,151,300
2,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,151,300
3,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,150,300
4,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,149,300
5,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,149,300
6,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,149,300
7,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,149,300
8,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,149,300
9,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,149,300
10,Felis catus,Felis,Felinae,Felidae,Carnivora,149,300
11,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,148,300
12,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,148,300
13,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,147,300
14,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,143,300
15,Equus asinus,Equus,,Equidae,Perissodactyla,142,300
16,Equus quagga,Equus,,Equidae,Perissodactyla,142,300
17,Suricata suricatta,Suricata,,Herpestidae,Carnivora,141,300
18,Equus caballus,Equus,,Equidae,Perissodactyla,141,300
19,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,141,300
20,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,140,300
21,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,140,300
22,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,139,300
23,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,139,300
24,Meles meles,Meles,Melinae,Mustelidae,Carnivora,139,300
25,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,139,300
26,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,139,300
27,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,139,300
28,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,139,300
29,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,138,300
30,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,138,300
31,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,137,300
32,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,137,300
33,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,136,300
34,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,136,300
35,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,136,300
36,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,136,300
37,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,136,300
38,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,136,300
39,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,136,300
40,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,136,300
41,Ursus americanus,Ursus,,Ursidae,Carnivora,135,300
42,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,135,300
43,Ursus arctos,Ursus,,Ursidae,Carnivora,135,300
44,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,135,300
45,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,135,300
46,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,134,300
47,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,134,300
48,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,134,300
49,Vulpes vulpes,Vulpes,,Canidae,Carnivora,133,300
50,Canis lupus dingo,Canis,,Canidae,Carnivora,133,300
51,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,133,300
52,Vulpes lagopus,Vulpes,,Canidae,Carnivora,133,300
53,Ursus maritimus,Ursus,,Ursidae,Carnivora,133,300
54,Zalophus californianus,Zalophus,,Otariidae,Carnivora,133,300
55,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,133,300
56,Sus scrofa,Sus,,Suidae,Artiodactyla,132,300
57,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,132,300
58,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,132,300
59,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,132,300
60,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,132,300
61,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,132,300
62,Canis lupus familiaris,Canis,,Canidae,Carnivora,131,300
63,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,131,300
64,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,131,300
65,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,131,300
66,Manis pentadactyla,Manis,,Manidae,Pholidota,131,300
67,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,131,300
68,Manis javanica,Manis,,Manidae,Pholidota,130,300
69,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,130,300
70,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,130,300
71,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,130,300
72,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,129,300
73,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,129,300
74,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,129,300
75,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,129,300
76,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,129,300
77,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,129,300
78,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,129,300
79,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,128,300
80,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,128,300
81,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,128,300
82,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,128,300
83,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,128,300
84,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,128,300
85,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,128,300
86,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,128,300
87,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,128,300
88,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,127,300
89,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,127,300
90,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,127,300
91,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,127,300
92,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,127,300
