,species,genus,subfamily,family,order,Match,Maximum Possible
0,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,176,284
1,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,175,284
2,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,163,284
3,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,162,284
4,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,162,284
5,Zalophus californianus,Zalophus,,Otariidae,Carnivora,162,284
6,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,162,284
7,Meles meles,Meles,Melinae,Mustelidae,Carnivora,162,284
8,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,161,284
9,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,160,284
10,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,159,284
11,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,158,284
12,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,158,284
13,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,158,284
14,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,158,284
15,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,158,284
16,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,158,284
17,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,158,284
18,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,158,284
19,Suricata suricatta,Suricata,,Herpestidae,Carnivora,157,284
20,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,156,284
21,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,156,284
22,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,156,284
23,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,156,284
24,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,156,284
25,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,156,284
26,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,156,284
27,Felis catus,Felis,Felinae,Felidae,Carnivora,155,284
28,Vulpes vulpes,Vulpes,,Canidae,Carnivora,155,284
