,species,genus,subfamily,family,order,Match,Maximum Possible
0,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,78,146
1,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,78,146
2,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,78,146
3,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,78,146
4,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,78,146
5,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,77,146
6,Meles meles,Meles,Melinae,Mustelidae,Carnivora,76,146
7,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,75,146
8,Felis catus,Felis,Felinae,Felidae,Carnivora,74,146
9,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,73,146
10,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,73,146
11,Vulpes lagopus,Vulpes,,Canidae,Carnivora,73,146
12,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,73,146
13,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,73,146
14,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,73,146
15,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,73,146
16,Ursus maritimus,Ursus,,Ursidae,Carnivora,73,146
17,Ursus arctos,Ursus,,Ursidae,Carnivora,73,146
18,Vulpes vulpes,Vulpes,,Canidae,Carnivora,73,146
19,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,73,146
20,Ursus americanus,Ursus,,Ursidae,Carnivora,73,146
21,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,72,146
22,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,72,146
23,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,72,146
24,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,72,146
25,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,72,146
26,Canis lupus dingo,Canis,,Canidae,Carnivora,72,146
27,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,72,146
28,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,71,146
29,Zalophus californianus,Zalophus,,Otariidae,Carnivora,71,146
30,Canis lupus familiaris,Canis,,Canidae,Carnivora,71,146
31,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,71,146
32,Suricata suricatta,Suricata,,Herpestidae,Carnivora,70,146
33,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,69,146
34,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,69,146
35,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,69,146
36,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,68,146
37,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,68,146
38,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,68,146
39,Colobus angolensis palliatus,Colobus,Colobinae,Cercopithecidae,Primates,67,146
40,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,67,146
41,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,67,146
42,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,67,146
43,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,67,146
44,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,66,146
45,Manis pentadactyla,Manis,,Manidae,Pholidota,66,146
46,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,66,146
47,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,66,146
48,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,66,146
49,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,66,146
50,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,66,146
51,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,65,146
52,Propithecus coquereli,Propithecus,,Indriidae,Primates,65,146
53,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,65,146
54,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,65,146
55,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,65,146
56,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,65,146
57,Manis javanica,Manis,,Manidae,Pholidota,65,146
58,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,64,146
59,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,64,146
60,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,64,146
61,Equus caballus,Equus,,Equidae,Perissodactyla,64,146
62,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,64,146
63,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,64,146
64,Homo sapiens,Homo,Homininae,Hominidae,Primates,64,146
65,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,64,146
66,Equus quagga,Equus,,Equidae,Perissodactyla,64,146
67,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,64,146
68,Lemur catta,Lemur,,Lemuridae,Primates,64,146
69,Aotus nancymaae,Aotus,,Aotidae,Primates,63,146
70,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,63,146
71,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,63,146
72,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,63,146
73,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,63,146
74,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,63,146
75,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,63,146
76,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,63,146
77,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,63,146
78,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,63,146
79,Hylobates moloch,Hylobates,,Hylobatidae,Primates,63,146
