,species,genus,subfamily,family,order,Match,Maximum Possible
0,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,161,257
1,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,157,257
2,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,153,257
3,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,151,257
4,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,150,257
5,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,149,257
6,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,145,257
7,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,144,257
8,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,144,257
9,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,143,257
10,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,142,257
11,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,139,257
12,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,139,257
13,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,138,257
14,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,138,257
15,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,137,257
16,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,137,257
17,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,136,257
18,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,136,257
19,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,136,257
20,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,134,257
21,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,134,257
22,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,133,257
23,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,133,257
24,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,131,257
25,Octodon degus,Octodon,,Octodontidae,Rodentia,130,257
26,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,130,257
27,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,130,257
28,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,130,257
29,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,130,257
30,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,130,257
31,Mus caroli,Mus,Murinae,Muridae,Rodentia,130,257
32,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,130,257
33,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,130,257
34,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,130,257
35,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,129,257
36,Fukomys damarensis,Fukomys,,Bathyergidae,Rodentia,129,257
37,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,129,257
38,Equus caballus,Equus,,Equidae,Perissodactyla,128,257
39,Equus quagga,Equus,,Equidae,Perissodactyla,128,257
40,Equus asinus,Equus,,Equidae,Perissodactyla,127,257
41,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,126,257
42,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,125,257
43,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,125,257
44,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,124,257
45,Heterocephalus glaber,Heterocephalus,,Bathyergidae,Rodentia,124,257
46,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,124,257
47,Mus musculus,Mus,Murinae,Muridae,Rodentia,124,257
48,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,124,257
49,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,124,257
50,Molossus molossus,Molossus,,Molossidae,Chiroptera,123,257
51,Sus scrofa,Sus,,Suidae,Artiodactyla,123,257
52,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,123,257
53,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,123,257
54,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,123,257
55,Rhinolophus ferrumequinum,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,123,257
56,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,122,257
57,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,122,257
58,Camelus ferus,Camelus,,Camelidae,Artiodactyla,122,257
59,Lemur catta,Lemur,,Lemuridae,Primates,122,257
60,Nomascus leucogenys,Nomascus,,Hylobatidae,Primates,121,257
61,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,121,257
62,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,121,257
63,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,121,257
64,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,121,257
65,Meles meles,Meles,Melinae,Mustelidae,Carnivora,121,257
66,Myotis lucifugus,Myotis,,Vespertilionidae,Chiroptera,121,257
67,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,121,257
68,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,121,257
69,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,120,257
70,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,120,257
71,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,120,257
72,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,120,257
73,Pongo pygmaeus,Pongo,Ponginae,Hominidae,Primates,120,257
74,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,120,257
75,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,120,257
76,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,120,257
77,Castor canadensis,Castor,,Castoridae,Rodentia,120,257
