,species,genus,subfamily,family,order,Match,Maximum Possible
0,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,120,216
1,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,120,216
2,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,119,216
3,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,117,216
4,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,117,216
5,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,117,216
6,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,117,216
7,Mus caroli,Mus,Murinae,Muridae,Rodentia,117,216
8,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,115,216
9,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,115,216
10,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,114,216
11,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,114,216
12,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,114,216
13,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,112,216
14,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,112,216
15,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,111,216
16,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,110,216
17,Mus musculus,Mus,Murinae,Muridae,Rodentia,109,216
18,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,109,216
19,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,106,216
20,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,105,216
21,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,105,216
22,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,104,216
23,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,103,216
24,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,103,216
25,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,102,216
26,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,100,216
27,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,98,216
28,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,98,216
29,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,98,216
30,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,98,216
31,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,97,216
32,Felis catus,Felis,Felinae,Felidae,Carnivora,97,216
33,Equus quagga,Equus,,Equidae,Perissodactyla,97,216
34,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,97,216
35,Equus caballus,Equus,,Equidae,Perissodactyla,97,216
36,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,97,216
37,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,97,216
38,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,96,216
39,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,96,216
40,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,96,216
41,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,96,216
42,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,96,216
43,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,96,216
44,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,96,216
45,Equus asinus,Equus,,Equidae,Perissodactyla,96,216
46,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,96,216
47,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,95,216
48,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,95,216
49,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,95,216
50,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,95,216
51,Carlito syrichta,Carlito,,Tarsiidae,Primates,95,216
52,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,95,216
53,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,95,216
54,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,95,216
55,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,95,216
56,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,94,216
57,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,94,216
58,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,94,216
59,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,94,216
60,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,94,216
61,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,94,216
62,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,94,216
63,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,93,216
64,Meles meles,Meles,Melinae,Mustelidae,Carnivora,93,216
65,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,93,216
66,Rhinopithecus bieti,Rhinopithecus,Colobinae,Cercopithecidae,Primates,93,216
67,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,93,216
68,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,93,216
69,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,93,216
70,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,93,216
71,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,93,216
72,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,93,216
73,Suricata suricatta,Suricata,,Herpestidae,Carnivora,93,216
74,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,92,216
75,Ursus arctos,Ursus,,Ursidae,Carnivora,92,216
76,Ursus americanus,Ursus,,Ursidae,Carnivora,92,216
