,species,genus,subfamily,family,order,Match,Maximum Possible
0,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,96,195
1,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,95,195
2,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,94,195
3,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,93,195
4,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,92,195
5,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,91,195
6,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,91,195
7,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,90,195
8,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,90,195
9,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,90,195
10,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,87,195
11,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,86,195
12,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,86,195
13,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,86,195
14,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,85,195
15,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,85,195
16,Mus caroli,Mus,Murinae,Muridae,Rodentia,85,195
17,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,84,195
18,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,84,195
19,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,84,195
20,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,83,195
21,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,82,195
22,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,82,195
23,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,82,195
24,Equus caballus,Equus,,Equidae,Perissodactyla,82,195
25,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,82,195
26,Felis catus,Felis,Felinae,Felidae,Carnivora,82,195
27,Mus musculus,Mus,Murinae,Muridae,Rodentia,82,195
28,Equus asinus,Equus,,Equidae,Perissodactyla,82,195
29,Equus quagga,Equus,,Equidae,Perissodactyla,82,195
30,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,81,195
31,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,81,195
32,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,81,195
33,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,81,195
34,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,81,195
35,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,81,195
36,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,81,195
37,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,81,195
38,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,81,195
39,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,81,195
40,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,81,195
41,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,81,195
42,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,81,195
43,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,81,195
44,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,81,195
45,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,81,195
46,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,81,195
47,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,81,195
48,Meles meles,Meles,Melinae,Mustelidae,Carnivora,81,195
49,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,81,195
50,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,81,195
