,species,genus,subfamily,family,order,Match,Maximum Possible
0,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,168,251
1,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,168,251
2,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,167,251
3,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,166,251
4,Equus asinus,Equus,,Equidae,Perissodactyla,166,251
5,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,165,251
6,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,165,251
7,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,165,251
8,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,165,251
9,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,165,251
10,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,165,251
11,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,164,251
12,Equus caballus,Equus,,Equidae,Perissodactyla,163,251
13,Equus quagga,Equus,,Equidae,Perissodactyla,163,251
14,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,163,251
15,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,163,251
16,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,163,251
17,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,162,251
18,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,160,251
19,Lemur catta,Lemur,,Lemuridae,Primates,160,251
20,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,159,251
21,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,159,251
22,Sus scrofa,Sus,,Suidae,Artiodactyla,159,251
23,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,159,251
24,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,159,251
25,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,159,251
26,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,158,251
27,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,158,251
28,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,158,251
29,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,158,251
30,Propithecus coquereli,Propithecus,,Indriidae,Primates,158,251
31,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,157,251
32,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,157,251
33,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,157,251
34,Rhinolophus ferrumequinum,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,157,251
35,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,156,251
36,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,156,251
37,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,156,251
38,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,156,251
39,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,156,251
40,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,155,251
41,Nomascus leucogenys,Nomascus,,Hylobatidae,Primates,155,251
42,Dromiciops gliroides,Dromiciops,,Microbiotheriidae,Microbiotheria,155,251
43,Macaca fascicularis,Macaca,Cercopithecinae,Cercopithecidae,Primates,155,251
44,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,155,251
45,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,155,251
46,Camelus ferus,Camelus,,Camelidae,Artiodactyla,155,251
47,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,155,251
48,Castor canadensis,Castor,,Castoridae,Rodentia,155,251
49,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,155,251
50,Sarcophilus harrisii,Sarcophilus,,Dasyuridae,Dasyuromorphia,155,251
51,Pan paniscus,Pan,Homininae,Hominidae,Primates,154,251
52,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,154,251
53,Cercocebus atys,Cercocebus,Cercopithecinae,Cercopithecidae,Primates,154,251
54,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,154,251
55,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,154,251
56,Meles meles,Meles,Melinae,Mustelidae,Carnivora,154,251
57,Aotus nancymaae,Aotus,,Aotidae,Primates,154,251
58,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,154,251
59,Rousettus aegyptiacus,Rousettus,Rousettinae,Pteropodidae,Chiroptera,154,251
60,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,154,251
61,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,154,251
62,Mandrillus leucophaeus,Mandrillus,Cercopithecinae,Cercopithecidae,Primates,154,251
63,Theropithecus gelada,Theropithecus,Cercopithecinae,Cercopithecidae,Primates,154,251
64,Pan troglodytes,Pan,Homininae,Hominidae,Primates,154,251
65,Otolemur garnettii,Otolemur,,Galagidae,Primates,154,251
66,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,154,251
67,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,154,251
68,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,153,251
69,Pongo pygmaeus,Pongo,Ponginae,Hominidae,Primates,153,251
70,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,153,251
71,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,153,251
72,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,153,251
73,Trachypithecus francoisi,Trachypithecus,Colobinae,Cercopithecidae,Primates,153,251
74,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,153,251
75,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,153,251
76,Pongo abelii,Pongo,Ponginae,Hominidae,Primates,153,251
77,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,153,251
78,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,153,251
79,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,153,251
80,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,153,251
81,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,153,251
82,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,153,251
83,Symphalangus syndactylus,Symphalangus,,Hylobatidae,Primates,153,251
