,species,genus,subfamily,family,order,Match,Maximum Possible
0,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,168,231
1,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,168,231
2,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,165,231
3,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,164,231
4,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,164,231
5,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,164,231
6,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,164,231
7,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,163,231
8,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,163,231
9,Equus caballus,Equus,,Equidae,Perissodactyla,163,231
10,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,163,231
11,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,163,231
12,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,162,231
13,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,162,231
14,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,162,231
15,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,162,231
16,Equus asinus,Equus,,Equidae,Perissodactyla,162,231
17,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,161,231
18,Equus quagga,Equus,,Equidae,Perissodactyla,161,231
19,Phocoena sinus,Phocoena,,Phocoenidae,Artiodactyla,161,231
20,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,160,231
21,Kogia breviceps,Kogia,,Physeteridae,Artiodactyla,160,231
22,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,160,231
23,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,159,231
24,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,159,231
25,Propithecus coquereli,Propithecus,,Indriidae,Primates,159,231
26,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,158,231
27,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,158,231
28,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,158,231
29,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,158,231
30,Camelus ferus,Camelus,,Camelidae,Artiodactyla,158,231
31,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,158,231
32,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,157,231
33,Felis catus,Felis,Felinae,Felidae,Carnivora,157,231
34,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,157,231
35,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,157,231
36,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,156,231
37,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,156,231
38,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,156,231
39,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,156,231
40,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,156,231
41,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,156,231
42,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,156,231
43,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,156,231
44,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,156,231
45,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,156,231
46,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,156,231
47,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,156,231
48,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,156,231
49,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,156,231
50,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,156,231
51,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,155,231
52,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,155,231
53,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,155,231
54,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,155,231
55,Lemur catta,Lemur,,Lemuridae,Primates,155,231
56,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,155,231
57,Rhinolophus sinicus,Rhinolophus,Rhinolophinae,Rhinolophidae,Chiroptera,154,231
58,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,154,231
59,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,154,231
60,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,154,231
61,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,154,231
62,Tachyglossus aculeatus,Tachyglossus,,Tachyglossidae,Monotremata,154,231
63,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,154,231
64,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,154,231
65,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,154,231
66,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,154,231
67,Lagenorhynchus albirostris,Lagenorhynchus,,Delphinidae,Artiodactyla,154,231
68,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,154,231
69,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,154,231
70,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,154,231
71,Mesoplodon densirostris,Mesoplodon,,Ziphiidae,Artiodactyla,154,231
72,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,154,231
73,Meles meles,Meles,Melinae,Mustelidae,Carnivora,153,231
74,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,153,231
75,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera,153,231
76,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,153,231
77,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,153,231
78,Suricata suricatta,Suricata,,Herpestidae,Carnivora,153,231
79,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,153,231
80,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,152,231
81,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,152,231
82,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,152,231
83,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,152,231
84,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,152,231
85,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,152,231
86,Tupaia chinensis,Tupaia,,Tupaiidae,Scandentia,152,231
87,Castor canadensis,Castor,,Castoridae,Rodentia,151,231
88,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,151,231
89,Chlorocebus sabaeus,Chlorocebus,Cercopithecinae,Cercopithecidae,Primates,151,231
90,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,151,231
91,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,151,231
