,species,genus,subfamily,family,order,Match,Maximum Possible
0,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,144,183
1,Equus asinus,Equus,,Equidae,Perissodactyla,143,183
2,Equus quagga,Equus,,Equidae,Perissodactyla,141,183
3,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,141,183
4,Equus caballus,Equus,,Equidae,Perissodactyla,140,183
5,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,140,183
6,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,139,183
7,Capra hircus,Capra,Caprinae,Bovidae,Artiodactyla,139,183
8,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,139,183
9,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,138,183
10,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,137,183
11,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,137,183
12,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,137,183
13,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,137,183
14,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,137,183
15,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,136,183
16,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,136,183
17,Phyllostomus discolor,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,136,183
18,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,136,183
19,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,135,183
20,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,135,183
21,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,135,183
22,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,135,183
23,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,135,183
24,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,135,183
25,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,135,183
26,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,135,183
27,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,135,183
28,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,135,183
29,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,135,183
30,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,134,183
31,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,134,183
32,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,134,183
33,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,134,183
34,Propithecus coquereli,Propithecus,,Indriidae,Primates,134,183
35,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,134,183
36,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,134,183
37,Lemur catta,Lemur,,Lemuridae,Primates,134,183
38,Camelus ferus,Camelus,,Camelidae,Artiodactyla,134,183
39,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,134,183
40,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,134,183
41,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,134,183
42,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,134,183
43,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,134,183
44,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,134,183
45,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,133,183
46,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,133,183
47,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,133,183
48,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,133,183
49,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,133,183
50,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,133,183
51,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,133,183
52,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,132,183
53,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,132,183
54,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,132,183
55,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,132,183
56,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,132,183
57,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,132,183
58,Phyllostomus hastatus,Phyllostomus,Phyllostominae,Phyllostomidae,Chiroptera,132,183
59,Meles meles,Meles,Melinae,Mustelidae,Carnivora,132,183
60,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,132,183
61,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,132,183
62,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,132,183
63,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,132,183
64,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,131,183
65,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,131,183
66,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,131,183
67,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,131,183
68,Sus scrofa,Sus,,Suidae,Artiodactyla,131,183
69,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,131,183
70,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,131,183
71,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,131,183
72,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,131,183
73,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,131,183
74,Vulpes lagopus,Vulpes,,Canidae,Carnivora,130,183
75,Sturnira hondurensis,Sturnira,Stenodermatinae,Phyllostomidae,Chiroptera,130,183
76,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,130,183
