,species,genus,subfamily,family,order,Match,Maximum Possible
0,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,179,250
1,Sus scrofa,Sus,,Suidae,Artiodactyla,178,250
2,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,177,250
3,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,169,250
4,Equus asinus,Equus,,Equidae,Perissodactyla,166,250
5,Moschus berezovskii,Moschus,,Moschidae,Artiodactyla,166,250
6,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,166,250
7,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,165,250
8,Equus quagga,Equus,,Equidae,Perissodactyla,165,250
9,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,165,250
10,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,165,250
11,Equus caballus,Equus,,Equidae,Perissodactyla,164,250
12,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,164,250
13,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,164,250
14,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,163,250
15,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,163,250
16,Tursiops truncatus,Tursiops,,Delphinidae,Artiodactyla,163,250
17,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,163,250
18,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,163,250
19,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,163,250
20,Cavia porcellus,Cavia,,Caviidae,Rodentia,163,250
21,Meles meles,Meles,Melinae,Mustelidae,Carnivora,163,250
22,Budorcas taxicolor,Budorcas,Caprinae,Bovidae,Artiodactyla,163,250
23,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,163,250
24,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,162,250
25,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,162,250
26,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,162,250
27,Camelus ferus,Camelus,,Camelidae,Artiodactyla,162,250
28,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,162,250
29,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,162,250
30,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,162,250
31,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,162,250
32,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,162,250
33,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,162,250
34,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,161,250
35,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,161,250
36,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,161,250
37,Lagenorhynchus obliquidens,Lagenorhynchus,,Delphinidae,Artiodactyla,161,250
38,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,161,250
39,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,161,250
40,Oryx dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla,161,250
41,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,161,250
42,Ovis aries,Ovis,Caprinae,Bovidae,Artiodactyla,161,250
43,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,161,250
44,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,161,250
45,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,161,250
46,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,161,250
47,Delphinus delphis,Delphinus,,Delphinidae,Artiodactyla,161,250
48,Globicephala melas,Globicephala,,Delphinidae,Artiodactyla,161,250
