,species,genus,subfamily,family,order,Match,Maximum Possible
0,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,198,261
1,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,196,261
2,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,196,261
3,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,196,261
4,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,196,261
5,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,196,261
6,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,194,261
7,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,194,261
8,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,193,261
9,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,193,261
10,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,193,261
11,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,193,261
12,Meles meles,Meles,Melinae,Mustelidae,Carnivora,193,261
13,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,193,261
14,Zalophus californianus,Zalophus,,Otariidae,Carnivora,191,261
15,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,191,261
16,Felis catus,Felis,Felinae,Felidae,Carnivora,190,261
17,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,190,261
18,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,190,261
19,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,190,261
20,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,190,261
21,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,190,261
22,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,190,261
23,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,190,261
24,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,190,261
25,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,189,261
26,Propithecus coquereli,Propithecus,,Indriidae,Primates,189,261
27,Ursus americanus,Ursus,,Ursidae,Carnivora,188,261
28,Ursus maritimus,Ursus,,Ursidae,Carnivora,188,261
29,Suricata suricatta,Suricata,,Herpestidae,Carnivora,188,261
30,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,188,261
31,Ursus arctos,Ursus,,Ursidae,Carnivora,188,261
32,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,187,261
33,Vulpes lagopus,Vulpes,,Canidae,Carnivora,186,261
34,Vulpes vulpes,Vulpes,,Canidae,Carnivora,186,261
35,Equus asinus,Equus,,Equidae,Perissodactyla,186,261
36,Canis lupus dingo,Canis,,Canidae,Carnivora,185,261
37,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,185,261
38,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,185,261
39,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,185,261
40,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,185,261
41,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,184,261
42,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,183,261
43,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,183,261
