,species,genus,subfamily,family,order,Match,Maximum Possible
0,Felis catus,Felis,Felinae,Felidae,Carnivora,117,157
1,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,116,157
2,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,116,157
3,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,116,157
4,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,116,157
5,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,116,157
6,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,116,157
7,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,116,157
8,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,116,157
9,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,116,157
10,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,116,157
11,Suricata suricatta,Suricata,,Herpestidae,Carnivora,114,157
12,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,114,157
13,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,113,157
14,Equus quagga,Equus,,Equidae,Perissodactyla,113,157
15,Equus asinus,Equus,,Equidae,Perissodactyla,113,157
16,Equus caballus,Equus,,Equidae,Perissodactyla,111,157
17,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,110,157
18,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,110,157
19,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,110,157
20,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,109,157
21,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,109,157
22,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,109,157
23,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,109,157
24,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,109,157
25,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,108,157
26,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,108,157
27,Meles meles,Meles,Melinae,Mustelidae,Carnivora,108,157
28,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,107,157
29,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,107,157
30,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,107,157
31,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,107,157
32,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,107,157
33,Ursus maritimus,Ursus,,Ursidae,Carnivora,106,157
34,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,106,157
35,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,106,157
36,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,106,157
37,Ursus arctos,Ursus,,Ursidae,Carnivora,106,157
38,Ursus americanus,Ursus,,Ursidae,Carnivora,106,157
39,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,106,157
40,Pteronotus parnellii mesoamericanus,Pteronotus,,Mormoopidae,Chiroptera,106,157
41,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,106,157
42,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,106,157
43,Canis lupus dingo,Canis,,Canidae,Carnivora,105,157
44,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,105,157
45,Elephas maximus indicus,Elephas,,Elephantidae,Proboscidea,105,157
46,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,105,157
47,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,105,157
48,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,105,157
49,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,105,157
50,Sus scrofa,Sus,,Suidae,Artiodactyla,105,157
51,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,105,157
52,Macaca thibetana thibetana,Macaca,Cercopithecinae,Cercopithecidae,Primates,104,157
53,Vulpes lagopus,Vulpes,,Canidae,Carnivora,104,157
54,Vulpes vulpes,Vulpes,,Canidae,Carnivora,104,157
55,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,104,157
56,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,104,157
57,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,104,157
58,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,104,157
