,species,genus,subfamily,family,order,Match,Maximum Possible
0,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,99,145
1,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,96,145
2,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,96,145
3,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,95,145
4,Equus asinus,Equus,,Equidae,Perissodactyla,92,145
5,Equus quagga,Equus,,Equidae,Perissodactyla,90,145
6,Equus caballus,Equus,,Equidae,Perissodactyla,90,145
7,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,90,145
8,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,89,145
9,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,89,145
10,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,89,145
11,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,89,145
12,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,89,145
13,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,89,145
14,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,89,145
15,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,89,145
16,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,89,145
17,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,88,145
18,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,88,145
19,Felis catus,Felis,Felinae,Felidae,Carnivora,88,145
20,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,88,145
21,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,87,145
22,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,87,145
23,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,87,145
24,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,87,145
25,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,87,145
26,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,87,145
27,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,87,145
28,Zalophus californianus,Zalophus,,Otariidae,Carnivora,87,145
29,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,87,145
30,Canis lupus familiaris,Canis,,Canidae,Carnivora,86,145
31,Vulpes lagopus,Vulpes,,Canidae,Carnivora,86,145
32,Meles meles,Meles,Melinae,Mustelidae,Carnivora,86,145
33,Vulpes vulpes,Vulpes,,Canidae,Carnivora,86,145
34,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,86,145
35,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,86,145
36,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,86,145
37,Suricata suricatta,Suricata,,Herpestidae,Carnivora,85,145
38,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,85,145
39,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,85,145
40,Hipposideros armiger,Hipposideros,,Hipposideridae,Chiroptera,85,145
41,Macaca nemestrina,Macaca,Cercopithecinae,Cercopithecidae,Primates,85,145
42,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,85,145
43,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,84,145
44,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,84,145
45,Piliocolobus tephrosceles,Piliocolobus,Colobinae,Cercopithecidae,Primates,84,145
46,Papio anubis,Papio,Cercopithecinae,Cercopithecidae,Primates,84,145
47,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,84,145
