,species,genus,subfamily,family,order,Match,Maximum Possible
0,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,204,277
1,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,202,277
2,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,201,277
3,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,201,277
4,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,201,277
5,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,201,277
6,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,201,277
7,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,201,277
8,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,201,277
9,Meles meles,Meles,Melinae,Mustelidae,Carnivora,200,277
10,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,198,277
11,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,197,277
12,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,197,277
13,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,197,277
14,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,197,277
15,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,197,277
16,Felis catus,Felis,Felinae,Felidae,Carnivora,197,277
17,Balaenoptera acutorostrata,Balaenoptera,,Balaenopteridae,Artiodactyla,196,277
18,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,196,277
19,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,196,277
20,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,196,277
21,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,196,277
22,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,196,277
23,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,196,277
24,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,196,277
25,Dromiciops gliroides,Dromiciops,,Microbiotheriidae,Microbiotheria,196,277
26,Suricata suricatta,Suricata,,Herpestidae,Carnivora,196,277
27,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,196,277
28,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,196,277
29,Zalophus californianus,Zalophus,,Otariidae,Carnivora,196,277
30,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,196,277
31,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,196,277
32,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,196,277
33,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,196,277
34,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,196,277
35,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,195,277
36,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,195,277
37,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,195,277
38,Castor canadensis,Castor,,Castoridae,Rodentia,195,277
39,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,195,277
40,Ursus maritimus,Ursus,,Ursidae,Carnivora,194,277
41,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,194,277
42,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,194,277
43,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,194,277
44,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,194,277
45,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,194,277
46,Ursus americanus,Ursus,,Ursidae,Carnivora,194,277
47,Ursus arctos,Ursus,,Ursidae,Carnivora,194,277
48,Pipistrellus kuhlii,Pipistrellus,,Vespertilionidae,Chiroptera,194,277
49,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,194,277
50,Physeter catodon,Physeter,,Physeteridae,Artiodactyla,193,277
51,Equus asinus,Equus,,Equidae,Perissodactyla,193,277
52,Vulpes vulpes,Vulpes,,Canidae,Carnivora,193,277
53,Vulpes lagopus,Vulpes,,Canidae,Carnivora,193,277
54,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,193,277
55,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,192,277
56,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,192,277
57,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,192,277
58,Canis lupus dingo,Canis,,Canidae,Carnivora,191,277
59,Condylura cristata,Condylura,,Talpidae,Eulipotyphla,191,277
60,Delphinapterus leucas,Delphinapterus,,Monodontidae,Artiodactyla,191,277
61,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,191,277
62,Equus caballus,Equus,,Equidae,Perissodactyla,191,277
63,Monodon monoceros,Monodon,,Monodontidae,Artiodactyla,191,277
64,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,191,277
65,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,191,277
66,Miniopterus natalensis,Miniopterus,,Miniopteridae,Chiroptera,191,277
67,Equus quagga,Equus,,Equidae,Perissodactyla,191,277
68,Eubalaena glacialis,Eubalaena,,Balaenidae,Artiodactyla,191,277
69,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,190,277
70,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,190,277
71,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,190,277
72,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,190,277
73,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,190,277
74,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,190,277
75,Phocoena sinus,Phocoena,,Phocoenidae,Artiodactyla,190,277
76,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,190,277
77,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,189,277
78,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,189,277
79,Sarcophilus harrisii,Sarcophilus,,Dasyuridae,Dasyuromorphia,189,277
80,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,189,277
81,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,189,277
82,Lemur catta,Lemur,,Lemuridae,Primates,188,277
83,Fukomys damarensis,Fukomys,,Bathyergidae,Rodentia,188,277
84,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,188,277
85,Canis lupus familiaris,Canis,,Canidae,Carnivora,188,277
86,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,188,277
87,Macaca mulatta,Macaca,Cercopithecinae,Cercopithecidae,Primates,187,277
88,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,187,277
89,Orcinus orca,Orcinus,,Delphinidae,Artiodactyla,187,277
90,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,187,277
91,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,187,277
92,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,187,277
93,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,187,277
