,species,genus,subfamily,family,order,Match,Maximum Possible
0,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,68,125
1,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,68,125
2,Ursus maritimus,Ursus,,Ursidae,Carnivora,68,125
3,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,68,125
4,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,68,125
5,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,68,125
6,Ursus arctos,Ursus,,Ursidae,Carnivora,68,125
7,Ursus americanus,Ursus,,Ursidae,Carnivora,68,125
8,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,68,125
9,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,67,125
10,Meles meles,Meles,Melinae,Mustelidae,Carnivora,67,125
11,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,67,125
12,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,67,125
13,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,67,125
14,Zalophus californianus,Zalophus,,Otariidae,Carnivora,67,125
15,Equus asinus,Equus,,Equidae,Perissodactyla,66,125
16,Equus quagga,Equus,,Equidae,Perissodactyla,66,125
17,Felis catus,Felis,Felinae,Felidae,Carnivora,66,125
18,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,66,125
19,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,65,125
20,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,65,125
21,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,65,125
22,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,65,125
23,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,65,125
24,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,65,125
25,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,65,125
26,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,65,125
27,Erinaceus europaeus,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla,65,125
28,Equus caballus,Equus,,Equidae,Perissodactyla,65,125
29,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,65,125
30,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,65,125
31,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,65,125
32,Canis lupus dingo,Canis,,Canidae,Carnivora,65,125
33,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,65,125
34,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,65,125
35,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,65,125
36,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,65,125
37,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,65,125
38,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,65,125
39,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,65,125
40,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,64,125
41,Canis lupus familiaris,Canis,,Canidae,Carnivora,64,125
42,Vulpes vulpes,Vulpes,,Canidae,Carnivora,63,125
43,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,63,125
44,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,63,125
45,Suricata suricatta,Suricata,,Herpestidae,Carnivora,63,125
46,Vulpes lagopus,Vulpes,,Canidae,Carnivora,63,125
