,species,genus,subfamily,family,order,Match,Maximum Possible
0,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,87,133
1,Neogale vison,Neogale,Mustelinae,Mustelidae,Carnivora,86,133
2,Mustela erminea,Mustela,Mustelinae,Mustelidae,Carnivora,86,133
3,Mustela nigripes,Mustela,Mustelinae,Mustelidae,Carnivora,86,133
4,Phoca vitulina,Phoca,Phocinae,Phocidae,Carnivora,86,133
5,Mustela lutreola,Mustela,Mustelinae,Mustelidae,Carnivora,86,133
6,Mustela putorius furo,Mustela,Mustelinae,Mustelidae,Carnivora,86,133
7,Equus quagga,Equus,,Equidae,Perissodactyla,86,133
8,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,86,133
9,Lutra lutra,Lutra,Lutrinae,Mustelidae,Carnivora,86,133
10,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,86,133
11,Equus caballus,Equus,,Equidae,Perissodactyla,86,133
12,Lontra canadensis,Lontra,Lutrinae,Mustelidae,Carnivora,85,133
13,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,85,133
14,Meles meles,Meles,Melinae,Mustelidae,Carnivora,85,133
15,Equus asinus,Equus,,Equidae,Perissodactyla,85,133
16,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,85,133
17,Zalophus californianus,Zalophus,,Otariidae,Carnivora,85,133
18,Sorex araneus,Sorex,Soricinae,Soricidae,Eulipotyphla,85,133
19,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,84,133
20,Felis catus,Felis,Felinae,Felidae,Carnivora,84,133
21,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,84,133
22,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,84,133
23,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,84,133
24,Mirounga leonina,Mirounga,Monachinae,Phocidae,Carnivora,84,133
25,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,84,133
26,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,84,133
27,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,84,133
28,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,84,133
29,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,84,133
30,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,84,133
31,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,84,133
32,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,84,133
33,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,84,133
34,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,83,133
35,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,83,133
36,Castor canadensis,Castor,,Castoridae,Rodentia,83,133
37,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,83,133
38,Propithecus coquereli,Propithecus,,Indriidae,Primates,83,133
39,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,83,133
40,Halichoerus grypus,Halichoerus,Phocinae,Phocidae,Carnivora,83,133
41,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,82,133
42,Suricata suricatta,Suricata,,Herpestidae,Carnivora,82,133
43,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,82,133
44,Ursus americanus,Ursus,,Ursidae,Carnivora,82,133
45,Vulpes vulpes,Vulpes,,Canidae,Carnivora,82,133
46,Vulpes lagopus,Vulpes,,Canidae,Carnivora,82,133
47,Camelus ferus,Camelus,,Camelidae,Artiodactyla,82,133
48,Sorex fumeus,Sorex,Soricinae,Soricidae,Eulipotyphla,82,133
49,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,82,133
50,Ursus maritimus,Ursus,,Ursidae,Carnivora,82,133
51,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,82,133
52,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,82,133
53,Bubalus bubalis,Bubalus,Bovinae,Bovidae,Artiodactyla,82,133
54,Saimiri boliviensis boliviensis,Saimiri,Saimiriinae,Cebidae,Primates,82,133
55,Panthera tigris,Panthera,Pantherinae,Felidae,Carnivora,82,133
56,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,82,133
57,Nyctereutes procyonoides,Nyctereutes,,Canidae,Carnivora,82,133
58,Bos mutus,Bos,Bovinae,Bovidae,Artiodactyla,82,133
59,Bubalus kerabau,Bubalus,Bovinae,Bovidae,Artiodactyla,82,133
60,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,82,133
61,Bos indicus,Bos,Bovinae,Bovidae,Artiodactyla,82,133
62,Ursus arctos,Ursus,,Ursidae,Carnivora,82,133
63,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,81,133
64,Sapajus apella,Sapajus,Cebinae,Cebidae,Primates,81,133
65,Manis javanica,Manis,,Manidae,Pholidota,81,133
66,Neophocaena asiaeorientalis,Neophocaena,,Phocoenidae,Artiodactyla,81,133
67,Canis lupus dingo,Canis,,Canidae,Carnivora,81,133
68,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,81,133
69,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,81,133
70,Cebus imitator,Cebus,Cebinae,Cebidae,Primates,81,133
71,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,81,133
72,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,81,133
73,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,81,133
74,Canis lupus familiaris,Canis,,Canidae,Carnivora,81,133
75,Sus scrofa,Sus,,Suidae,Artiodactyla,81,133
76,Callithrix jacchus,Callithrix,Callitrichinae,Cebidae,Primates,81,133
77,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,81,133
78,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,80,133
79,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,80,133
80,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,80,133
81,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,80,133
82,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,80,133
83,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,80,133
84,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,80,133
85,Tupaia chinensis,Tupaia,,Tupaiidae,Scandentia,80,133
86,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,80,133
87,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,80,133
88,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,79,133
