,species,genus,subfamily,family,order,Match,Maximum Possible
0,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,104,133
1,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,103,133
2,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,101,133
3,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,99,133
4,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,98,133
5,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,95,133
6,Acomys russatus,Acomys,Deomyinae,Muridae,Rodentia,94,133
7,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,94,133
8,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,93,133
9,Mus caroli,Mus,Murinae,Muridae,Rodentia,92,133
10,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,91,133
11,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,91,133
12,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,91,133
13,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,91,133
14,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,90,133
15,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,90,133
16,Mus musculus,Mus,Murinae,Muridae,Rodentia,89,133
17,Microcebus murinus,Microcebus,,Cheirogaleidae,Primates,89,133
18,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,89,133
19,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,89,133
20,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,88,133
21,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,87,133
22,Lemur catta,Lemur,,Lemuridae,Primates,87,133
23,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,87,133
24,Propithecus coquereli,Propithecus,,Indriidae,Primates,86,133
25,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,86,133
26,Hippopotamus amphibius kiboko,Hippopotamus,,Hippopotamidae,Artiodactyla,86,133
27,Choloepus didactylus,Choloepus,,Megalonychidae,Pilosa,86,133
28,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,85,133
29,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,85,133
30,Talpa occidentalis,Talpa,,Talpidae,Eulipotyphla,84,133
31,Monodelphis domestica,Monodelphis,Didelphinae,Didelphidae,Didelphimorphia,84,133
32,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,84,133
33,Balaenoptera musculus,Balaenoptera,,Balaenopteridae,Artiodactyla,84,133
34,Trichechus manatus latirostris,Trichechus,,Trichechidae,Sirenia,84,133
35,Nycticebus coucang,Nycticebus,,Lorisidae,Primates,83,133
36,Dipodomys ordii,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,83,133
37,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,83,133
38,Cavia porcellus,Cavia,,Caviidae,Rodentia,83,133
39,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,82,133
40,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,82,133
41,Meles meles,Meles,Melinae,Mustelidae,Carnivora,81,133
42,Zalophus californianus,Zalophus,,Otariidae,Carnivora,81,133
43,Sus scrofa,Sus,,Suidae,Artiodactyla,81,133
44,Eumetopias jubatus,Eumetopias,,Otariidae,Carnivora,81,133
45,Ailuropoda melanoleuca,Ailuropoda,,Ursidae,Carnivora,81,133
46,Cynocephalus volans,Cynocephalus,,Cynocephalidae,Dermoptera,81,133
47,Dromiciops gliroides,Dromiciops,,Microbiotheriidae,Microbiotheria,81,133
48,Neomonachus schauinslandi,Neomonachus,Monachinae,Phocidae,Carnivora,81,133
49,Balaenoptera ricei,Balaenoptera,,Balaenopteridae,Artiodactyla,81,133
50,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,81,133
51,Oryctolagus cuniculus,Oryctolagus,,Leporidae,Lagomorpha,81,133
52,Mirounga angustirostris,Mirounga,Monachinae,Phocidae,Carnivora,81,133
53,Loxodonta africana,Loxodonta,,Elephantidae,Proboscidea,81,133
54,Carlito syrichta,Carlito,,Tarsiidae,Primates,81,133
55,Ursus americanus,Ursus,,Ursidae,Carnivora,80,133
56,Orycteropus afer afer,Orycteropus,,Orycteropodidae,Tubulidentata,80,133
57,Manis javanica,Manis,,Manidae,Pholidota,80,133
58,Rhinopithecus roxellana,Rhinopithecus,Colobinae,Cercopithecidae,Primates,80,133
59,Callorhinus ursinus,Callorhinus,,Otariidae,Carnivora,80,133
60,Ursus arctos,Ursus,,Ursidae,Carnivora,80,133
61,Chinchilla lanigera,Chinchilla,,Chinchillidae,Rodentia,80,133
62,Galeopterus variegatus,Galeopterus,,Cynocephalidae,Dermoptera,80,133
63,Otolemur garnettii,Otolemur,,Galagidae,Primates,80,133
64,Dipodomys spectabilis,Dipodomys,Dipodomyinae,Heteromyidae,Rodentia,80,133
65,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,80,133
