,species,genus,subfamily,family,order,Match,Maximum Possible
0,Arvicola amphibius,Arvicola,Arvicolinae,Cricetidae,Rodentia,192,254
1,Myodes glareolus,Myodes,Arvicolinae,Cricetidae,Rodentia,189,254
2,Microtus oregoni,Microtus,Arvicolinae,Cricetidae,Rodentia,188,254
3,Chionomys nivalis,Chionomys,Arvicolinae,Cricetidae,Rodentia,188,254
4,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,187,254
5,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,185,254
6,Microtus ochrogaster,Microtus,Arvicolinae,Cricetidae,Rodentia,185,254
7,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,184,254
8,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,183,254
9,Microtus fortis,Microtus,Arvicolinae,Cricetidae,Rodentia,183,254
10,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,182,254
11,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,181,254
12,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,179,254
13,Phodopus roborovskii,Phodopus,Cricetinae,Cricetidae,Rodentia,179,254
14,Marmota monax,Marmota,Xerinae,Sciuridae,Rodentia,178,254
15,Marmota marmota marmota,Marmota,Xerinae,Sciuridae,Rodentia,178,254
16,Marmota flaviventris,Marmota,Xerinae,Sciuridae,Rodentia,178,254
17,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,178,254
18,Lemur catta,Lemur,,Lemuridae,Primates,177,254
19,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,177,254
20,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,177,254
21,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,176,254
22,Onychomys torridus,Onychomys,Neotominae,Cricetidae,Rodentia,176,254
23,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,176,254
