,species,genus,subfamily,family,order,Match,Maximum Possible
0,Arvicanthis niloticus,Arvicanthis,Murinae,Muridae,Rodentia,85,125
1,Mus musculus,Mus,Murinae,Muridae,Rodentia,85,125
2,Mastomys coucha,Mastomys,Murinae,Muridae,Rodentia,84,125
3,Mus caroli,Mus,Murinae,Muridae,Rodentia,84,125
4,Apodemus sylvaticus,Apodemus,Murinae,Muridae,Rodentia,83,125
5,Rattus rattus,Rattus,Murinae,Muridae,Rodentia,81,125
6,Grammomys surdaster,Grammomys,Murinae,Muridae,Rodentia,81,125
7,Rattus norvegicus,Rattus,Murinae,Muridae,Rodentia,81,125
8,Meriones unguiculatus,Meriones,Gerbillinae,Muridae,Rodentia,79,125
9,Psammomys obesus,Psammomys,Gerbillinae,Muridae,Rodentia,79,125
10,Phacochoerus africanus,Phacochoerus,,Suidae,Artiodactyla,75,125
11,Sus scrofa domesticus,Sus,,Suidae,Artiodactyla,74,125
12,Mesocricetus auratus,Mesocricetus,Cricetinae,Cricetidae,Rodentia,74,125
13,Equus caballus,Equus,,Equidae,Perissodactyla,74,125
14,Cricetulus griseus,Cricetulus,Cricetinae,Cricetidae,Rodentia,74,125
15,Desmodus rotundus,Desmodus,Desmodontinae,Phyllostomidae,Chiroptera,74,125
16,Propithecus coquereli,Propithecus,,Indriidae,Primates,74,125
17,Diceros bicornis minor,Diceros,,Rhinocerotidae,Perissodactyla,73,125
18,Peromyscus maniculatus bairdii,Peromyscus,Neotominae,Cricetidae,Rodentia,73,125
19,Lepus europaeus,Lepus,,Leporidae,Lagomorpha,73,125
20,Camelus dromedarius,Camelus,,Camelidae,Artiodactyla,73,125
21,Perognathus longimembris pacificus,Perognathus,Perognathinae,Heteromyidae,Rodentia,73,125
22,Panthera leo,Panthera,Pantherinae,Felidae,Carnivora,72,125
23,Ochotona curzoniae,Ochotona,,Ochotonidae,Lagomorpha,72,125
24,Suncus etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla,72,125
25,Odocoileus virginianus texanus,Odocoileus,Odocoileinae,Cervidae,Artiodactyla,72,125
26,Vicugna pacos,Vicugna,,Camelidae,Artiodactyla,72,125
27,Equus quagga,Equus,,Equidae,Perissodactyla,72,125
28,Panthera uncia,Panthera,Pantherinae,Felidae,Carnivora,72,125
29,Equus asinus,Equus,,Equidae,Perissodactyla,72,125
30,Cervus canadensis,Cervus,Cervinae,Cervidae,Artiodactyla,72,125
31,Sus scrofa,Sus,,Suidae,Artiodactyla,72,125
32,Ictidomys tridecemlineatus,Ictidomys,Xerinae,Sciuridae,Rodentia,72,125
33,Peromyscus leucopus,Peromyscus,Neotominae,Cricetidae,Rodentia,72,125
34,Ochotona princeps,Ochotona,,Ochotonidae,Lagomorpha,72,125
35,Cervus elaphus,Cervus,Cervinae,Cervidae,Artiodactyla,72,125
36,Dama dama,Dama,Cervinae,Cervidae,Artiodactyla,72,125
37,Panthera onca,Panthera,Pantherinae,Felidae,Carnivora,72,125
38,Peromyscus californicus insignis,Peromyscus,Neotominae,Cricetidae,Rodentia,72,125
39,Odobenus rosmarus divergens,Odobenus,,Odobenidae,Carnivora,71,125
40,Castor canadensis,Castor,,Castoridae,Rodentia,71,125
41,Camelus ferus,Camelus,,Camelidae,Artiodactyla,71,125
42,Jaculus jaculus,Jaculus,Dipodinae,Dipodidae,Rodentia,71,125
43,Prionailurus viverrinus,Prionailurus,Felinae,Felidae,Carnivora,71,125
44,Prionailurus bengalensis,Prionailurus,Felinae,Felidae,Carnivora,71,125
45,Camelus bactrianus,Camelus,,Camelidae,Artiodactyla,71,125
46,Bos javanicus,Bos,Bovinae,Bovidae,Artiodactyla,71,125
47,Neofelis nebulosa,Neofelis,Pantherinae,Felidae,Carnivora,71,125
48,Lynx canadensis,Lynx,Felinae,Felidae,Carnivora,71,125
49,Felis catus,Felis,Felinae,Felidae,Carnivora,71,125
50,Bison bison bison,Bison,Bovinae,Bovidae,Artiodactyla,71,125
51,Leopardus geoffroyi,Leopardus,Felinae,Felidae,Carnivora,71,125
52,Acinonyx jubatus,Acinonyx,Felinae,Felidae,Carnivora,71,125
53,Bos indicus x Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,71,125
54,Lynx rufus,Lynx,Felinae,Felidae,Carnivora,71,125
55,Bos taurus,Bos,Bovinae,Bovidae,Artiodactyla,71,125
56,Nannospalax galili,Nannospalax,Spalacinae,Spalacidae,Rodentia,71,125
57,Sciurus carolinensis,Sciurus,Sciurinae,Sciuridae,Rodentia,71,125
58,Lemur catta,Lemur,,Lemuridae,Primates,70,125
59,Ursus americanus,Ursus,,Ursidae,Carnivora,70,125
60,Urocitellus parryii,Urocitellus,Xerinae,Sciuridae,Rodentia,70,125
61,Panthera pardus,Panthera,Pantherinae,Felidae,Carnivora,70,125
62,Hyaena hyaena,Hyaena,,Hyaenidae,Carnivora,70,125
63,Antechinus flavipes,Antechinus,,Dasyuridae,Dasyuromorphia,70,125
64,Ursus maritimus,Ursus,,Ursidae,Carnivora,70,125
